Entry	Entry Name	Gene Names	Protein names	Organism	Length	Subcellular location [CC]	Keywords	Gene Ontology (biological process)	Gene Ontology (cellular component)
P76773	OMPL_ECOLI	ompL yshA b3875 JW3846	Porin OmpL	Escherichia coli (strain K12)	230	SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000269|PubMed:11080145}.	Cell outer membrane;Direct protein sequencing;Ion transport;Membrane;Porin;Reference proteome;Signal;Sugar transport;Transmembrane;Transmembrane beta strand;Transport	arabinose transmembrane transport [GO:0015751]; D-glucose import [GO:0046323]; galactose transmembrane transport [GO:0015757]; monoatomic ion transport [GO:0006811]; oligosaccharide transport [GO:0015772]	cell outer membrane [GO:0009279]; pore complex [GO:0046930]
P76938	EPMC_ECOLI	epmC yfcM b2326 JW5381	Elongation factor P lysine hydroxylase (EF-P lysine hydroxylase) (EC 1.14.13.-) (EF-P post-translational modification enzyme C)	Escherichia coli (strain K12)	182		Monooxygenase;Oxidoreductase;Reference proteome	post-translational protein modification [GO:0043687]	
P77129	ALLG_ECOLI	allG ylbE b4572 b0519	Oxamate carbamoyltransferase subunit AllG (OXTCase subunit AllG) (EC 2.1.3.5) (Oxamic transcarbamylase subunit AllG)	Escherichia coli (strain K12)	419		Magnesium;Reference proteome;Transferase	allantoin catabolic process [GO:0000256]	
P77154	KOJP_ECOLI	ycjT b1316 JW1309	Kojibiose phosphorylase (EC 2.4.1.230)	Escherichia coli (strain K12)	755		Carbohydrate metabolism;Glycosyltransferase;Reference proteome;Transferase	carbohydrate metabolic process [GO:0005975]	
P77161	GLXR_ECOLI	glxR glxB1 ybbQ b0509 JW0497	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60) (Tartronate semialdehyde reductase) (TSAR)	Escherichia coli (strain K12)	292		NAD;Oxidoreductase;Reference proteome	allantoin assimilation pathway [GO:0009442]; DNA damage response [GO:0006974]; glycolate catabolic process [GO:0046296]; glyoxylate catabolic process [GO:0009436]	
P77171	YDCI_ECOLI	ydcI b1422 JW5226	HTH-type transcriptional regulator YdcI	Escherichia coli (strain K12)	307		DNA-binding;Reference proteome;Transcription;Transcription regulation	negative regulation of DNA-templated transcription [GO:0045892]; regulation of DNA-templated transcription [GO:0006355]	cytosol [GO:0005829]
P77223	RSXB_ECOLI	rsxB rnfB ydgM b1628 JW1620	Ion-translocating oxidoreductase complex subunit B (EC 7.-.-.-) (Rsx electron transport complex subunit B)	Escherichia coli (strain K12)	192	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00463}.	4Fe-4S;Cell inner membrane;Cell membrane;Electron transport;Iron;Iron-sulfur;Membrane;Metal-binding;Reference proteome;Repeat;Translocase;Transport	electron transport chain [GO:0022900]	oxidoreductase complex [GO:1990204]; plasma membrane protein complex [GO:0098797]
P77245	MURR_ECOLI	murR yfeT b2427 JW2420	HTH-type transcriptional regulator MurR (MurPQ operon repressor)	Escherichia coli (strain K12)	285		3D-structure;Carbohydrate metabolism;DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation	carbohydrate derivative metabolic process [GO:1901135]; N-acetylmuramic acid catabolic process [GO:0097173]; negative regulation of DNA-templated transcription [GO:0045892]; regulation of carbohydrate catabolic process [GO:0043470]; regulation of DNA-templated transcription [GO:0006355]	
P77257	LSRA_ECOLI	lsrA ego ydeX b1513 JW1506	Autoinducer 2 import ATP-binding protein LsrA (AI-2 import ATP-binding protein LsrA) (EC 7.6.2.13) (EGO10A)	Escherichia coli (strain K12)	511	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}.	ATP-binding;Cell inner membrane;Cell membrane;Membrane;Nucleotide-binding;Reference proteome;Repeat;Translocase;Transport	autoinducer AI-2 transmembrane transport [GO:1905887]; quorum sensing [GO:0009372]	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; membrane [GO:0016020]; plasma membrane [GO:0005886]
P77272	PTYBC_ECOLI	murP yfeV b2429 JW2422	PTS system N-acetylmuramic acid-specific EIIBC component (EIIBC-MurNAc) [Includes: N-acetylmuramic acid-specific phosphotransferase enzyme IIB component (EC 2.7.1.192) (PTS system N-acetylmuramic acid-specific EIIB component); N-acetylmuramic acid permease IIC component (PTS system N-acetylmuramic acid-specific EIIC component)]	Escherichia coli (strain K12)	474	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|PROSITE-ProRule:PRU00426}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00426}.	Cell inner membrane;Cell membrane;Kinase;Membrane;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transmembrane;Transmembrane helix;Transport	carbohydrate transmembrane transport [GO:0034219]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	membrane [GO:0016020]; plasma membrane [GO:0005886]
P77279	FETA_ECOLI	fetA ybbL b0490 JW0479	Probable iron export ATP-binding protein FetA (EC 7.2.2.-)	Escherichia coli (strain K12)	225	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.	ATP-binding;Cell inner membrane;Cell membrane;Ion transport;Iron;Iron transport;Membrane;Nucleotide-binding;Reference proteome;Translocase;Transport	intracellular iron ion homeostasis [GO:0006879]; iron ion transport [GO:0006826]; transmembrane transport [GO:0055085]	plasma membrane [GO:0005886]
P77285	RSXG_ECOLI	rsxG rnfG ydgP b1631 JW1623	Ion-translocating oxidoreductase complex subunit G (EC 7.-.-.-) (Rsx electron transport complex subunit G)	Escherichia coli (strain K12)	206	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00479, ECO:0000305}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00479}.	Cell inner membrane;Cell membrane;Electron transport;Flavoprotein;FMN;Membrane;Phosphoprotein;Reference proteome;Translocase;Transmembrane;Transmembrane helix;Transport	electron transport chain [GO:0022900]	cell outer membrane [GO:0009279]; oxidoreductase complex [GO:1990204]; plasma membrane [GO:0005886]; plasma membrane protein complex [GO:0098797]
P77295	YGAV_ECOLI	ygaV b2667 JW2642	HTH-type transcriptional regulator YgaV (Sulfide-responsive transcription factor YgaV)	Escherichia coli (strain K12)	99		3D-structure;Activator;DNA-binding;Reference proteome;Repressor;Stress response;Transcription;Transcription regulation	regulation of DNA-templated transcription [GO:0006355]; stress response to acid chemical [GO:0097532]	
P77300	XYNR_ECOLI	xynR yagI b0272 JW0265	HTH-type transcriptional regulator XynR (Regulator of xylonate catabolism)	Escherichia coli (strain K12)	252		DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation	negative regulation of DNA-templated transcription [GO:0045892]; single-species biofilm formation [GO:0044010]	
P77304	DTPA_ECOLI	dtpA tppB ydgR b1634 JW1626	Dipeptide and tripeptide permease A	Escherichia coli (strain K12)	500	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	3D-structure;Cell inner membrane;Cell membrane;Membrane;Peptide transport;Protein transport;Reference proteome;Transmembrane;Transmembrane helix;Transport	dipeptide transmembrane transport [GO:0035442]; protein transport [GO:0015031]; tripeptide transmembrane transport [GO:0035443]	plasma membrane [GO:0005886]
P77306	YQIK_ECOLI	yqiK b3051 JW3023	Flotillin family inner membrane protein YqiK	Escherichia coli (strain K12)	553	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:20713508}; Single-pass membrane protein {ECO:0000255}. Membrane raft {ECO:0000269|PubMed:20713508}; Single-pass membrane protein {ECO:0000255}. Note=Present in detergent-resistant membrane (DRM) fractions, approximately 6 foci per cell. {ECO:0000269|PubMed:20713508}.	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix		cytosol [GO:0005829]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]
P77307	FETB_ECOLI	fetB ybbM b0491 JW5066	Probable iron export permease protein FetB	Escherichia coli (strain K12)	259	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:24038693}; Multi-pass membrane protein {ECO:0000269|PubMed:24038693}.	Cell inner membrane;Cell membrane;Ion transport;Iron;Iron transport;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	intracellular iron ion homeostasis [GO:0006879]; iron ion transport [GO:0006826]	plasma membrane [GO:0005886]
P77333	PGRR_ECOLI	pgrR ycjZ b1328 JW1321	HTH-type transcriptional regulator PgrR (Regulator of PG recycling)	Escherichia coli (strain K12)	299		DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation	bacterial-type flagellum-dependent swarming motility [GO:0071978]; DNA-templated transcription [GO:0006351]; negative regulation of DNA-templated transcription [GO:0045892]	
P77334	PDER_ECOLI	pdeR gmr yciR b1285 JW1278	Cyclic di-GMP phosphodiesterase PdeR (EC 3.1.4.52)	Escherichia coli (strain K12)	661		c-di-GMP;Hydrolase;Reference proteome	post-transcriptional regulation of gene expression [GO:0010608]	
P77338	MSCK_ECOLI	mscK aefA kefA b0465 JW0454	Mechanosensitive channel MscK (Potassium efflux system KefA)	Escherichia coli (strain K12)	1120	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:11985727, ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000269|PubMed:11985727, ECO:0000269|PubMed:15919996}.	3D-structure;Cell inner membrane;Cell membrane;Coiled coil;Ion transport;Membrane;Potassium;Potassium transport;Reference proteome;Signal;Transmembrane;Transmembrane helix;Transport	intracellular water homeostasis [GO:0009992]; potassium ion transport [GO:0006813]; response to potassium ion [GO:0035864]	plasma membrane [GO:0005886]
P77357	ABGA_ECOLI	abgA ydaJ b1338 JW5205	p-aminobenzoyl-glutamate hydrolase subunit A (EC 3.5.1.-) (PABA-GLU hydrolase) (PGH)	Escherichia coli (strain K12)	436		Direct protein sequencing;Hydrolase;Reference proteome	folic acid catabolic process [GO:0046657]	catalytic complex [GO:1902494]; cytoplasm [GO:0005737]
P77359	DJLC_ECOLI	djlC ybeV b0649 JW0644	Co-chaperone protein DjlC (DnaJ-like protein C) (Hsc56) (Hsc62-specific DnaJ-like co-chaperone Hsc56)	Escherichia coli (strain K12)	483	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:29246766}; Single-pass membrane protein {ECO:0000255}. Note=Is a tail-anchored membrane protein (TAMP) (PubMed:29246766). The transmembrane domain is required and sufficient for membrane localization (PubMed:29246766). The signal recognition particle (SRP), its receptor FtsY, the chaperone DnaK and insertase YidC are each required for efficient membrane localization (PubMed:29246766). {ECO:0000269|PubMed:29246766}.	Cell inner membrane;Cell membrane;Chaperone;Membrane;Reference proteome;Transmembrane;Transmembrane helix	response to cadmium ion [GO:0046686]	plasma membrane [GO:0005886]
P77374	YNFE_ECOLI	ynfE b1587 JW1579	Putative dimethyl sulfoxide reductase chain YnfE (DMSO reductase) (EC 1.8.99.-)	Escherichia coli (strain K12)	808	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}.	4Fe-4S;Cell membrane;Iron;Iron-sulfur;Membrane;Metal-binding;Molybdenum;Oxidoreductase;Reference proteome;Signal	anaerobic respiration [GO:0009061]	outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]
P77379	RCLR_ECOLI	rclR ykgD b0305 JW0298	RCS-specific HTH-type transcriptional activator RclR (Reactive chlorine resistance protein R)	Escherichia coli (strain K12)	284		Activator;Disulfide bond;DNA-binding;Reference proteome;Stress response;Transcription;Transcription regulation	positive regulation of DNA-templated transcription [GO:0045893]; regulation of DNA-templated transcription [GO:0006355]; regulation of organohalogen metabolic process [GO:0090347]	
P77397	MHPA_ECOLI	mhpA b0347 JW0338	3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase (3-HCI hydroxylase) (3-HPP hydroxylase) (EC 1.14.13.127)	Escherichia coli (strain K12)	554		Aromatic hydrocarbons catabolism;FAD;Flavoprotein;NAD;Oxidoreductase;Reference proteome	3-(3-hydroxy)phenylpropionate catabolic process [GO:0019622]; 3-phenylpropionate catabolic process [GO:0019380]	
P77439	PTFX1_ECOLI	fryA ypdD b2383 JW2380	Multiphosphoryl transfer protein 1 (MTP 1) (Triphosphoryl transfer protein 1) (TTP 1) [Includes: Phosphoenolpyruvate-protein phosphotransferase (EC 2.7.3.9) (Phosphotransferase system enzyme I); Phosphocarrier protein HPr (Protein H); PTS system fructose-like EIIA component (EC 2.7.1.202) (Fructose-like phosphotransferase enzyme IIA component)]	Escherichia coli (strain K12)	831	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	Cytoplasm;Kinase;Magnesium;Metal-binding;Phosphoprotein;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transport	N-acetylglucosamine transport [GO:0015764]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	cytoplasm [GO:0005737]; membrane [GO:0016020]
P77467	PAAG_ECOLI	paaG ydbT b1394 JW1389	1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)	Escherichia coli (strain K12)	262		3D-structure;Isomerase;Lyase;Reference proteome	fatty acid beta-oxidation [GO:0006635]; phenylacetate catabolic process [GO:0010124]	catalytic complex [GO:1902494]
P77475	YQAB_ECOLI	yqaB b2690 JW2665	Fructose-1-phosphate phosphatase YqaB (EC 3.1.3.-) (Fructose-1-phosphatase)	Escherichia coli (strain K12)	188		Hydrolase;Magnesium;Metal-binding;Reference proteome	carbohydrate metabolic process [GO:0005975]	
P77481	YCJV_ECOLI	ycjV ymjB b4524 JW1311/JW5203 b1318	Maltose import ATP-binding protein YcjV (EC 7.5.2.1)	Escherichia coli (strain K12)	360	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}.	ATP-binding;Cell inner membrane;Cell membrane;Membrane;Nucleotide-binding;Reference proteome;Sugar transport;Translocase;Transport	carbohydrate transport [GO:0008643]; transmembrane transport [GO:0055085]	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; membrane [GO:0016020]
P77503	YCJS_ECOLI	ycjS b1315 JW1308	D-glucoside 3-dehydrogenase (EC 1.1.1.-)	Escherichia coli (strain K12)	351		Carbohydrate metabolism;NAD;Oxidoreductase;Reference proteome		
P77522	SUFB_ECOLI	sufB ynhE b1683 JW5273	Iron-sulfur cluster assembly protein SufB	Escherichia coli (strain K12)	495		3D-structure;Reference proteome	iron-sulfur cluster assembly [GO:0016226]	iron-sulfur cluster assembly complex [GO:1990229]
P77570	ANMK_ECOLI	anmK ydhH b1640 JW1632	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	Escherichia coli (strain K12)	369		ATP-binding;Carbohydrate metabolism;Kinase;Nucleotide-binding;Reference proteome;Transferase	1,6-anhydro-N-acetyl-beta-muramic acid catabolic process [GO:0097175]; amino sugar metabolic process [GO:0006040]; peptidoglycan turnover [GO:0009254]	
P77580	ACDH_ECOLI	mhpF mhpE b0351 JW0342	Acetaldehyde dehydrogenase (EC 1.2.1.10) (Acetaldehyde dehydrogenase [acetylating])	Escherichia coli (strain K12)	316		Aromatic hydrocarbons catabolism;NAD;Oxidoreductase;Reference proteome	3-phenylpropionate catabolic process [GO:0019380]	
P77585	YPDE_ECOLI	ypdE b2384 JW2381	Aminopeptidase YpdE (EC 3.4.11.-)	Escherichia coli (strain K12)	345		Aminopeptidase;Cobalt;Hydrolase;Metal-binding;Metalloprotease;Protease;Reference proteome	proteolysis [GO:0006508]	
P77608	MHPD_ECOLI	mhpD b0350 JW0341	2-keto-4-pentenoate hydratase (EC 4.2.1.80) (2-hydroxypentadienoic acid hydratase)	Escherichia coli (strain K12)	269		3D-structure;Aromatic hydrocarbons catabolism;Direct protein sequencing;Lyase;Reference proteome	3-phenylpropionate catabolic process [GO:0019380]	cytoplasm [GO:0005737]
P77611	RSXC_ECOLI	rsxC rnfC ydgN b1629 JW1621	Ion-translocating oxidoreductase complex subunit C (EC 7.-.-.-) (Rsx electron transport complex subunit C)	Escherichia coli (strain K12)	740	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00461}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_00461}.	4Fe-4S;Cell inner membrane;Cell membrane;Electron transport;Iron;Iron-sulfur;Membrane;Metal-binding;Reference proteome;Repeat;Translocase;Transport	electron transport chain [GO:0022900]	oxidoreductase complex [GO:1990204]; plasma membrane protein complex [GO:0098797]
P77615	YCJW_ECOLI	ycjW b1320 JW1313	HTH-type transcriptional repressor YcjW	Escherichia coli (strain K12)	332		DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation	DNA damage response [GO:0006974]; DNA-templated transcription [GO:0006351]; negative regulation of DNA-templated transcription [GO:0045892]; regulation of DNA-templated transcription [GO:0006355]	
P77619	YFEW_ECOLI	yfeW pbp4B b2430 JW5395	Putative D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4) (DD-carboxypeptidase) (DD-CPase) (Penicillin binding protein 4B)	Escherichia coli (strain K12)	434	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01034, ECO:0000305|PubMed:16402224}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01034, ECO:0000305|PubMed:16402224}.	Carboxypeptidase;Cell inner membrane;Cell membrane;Hydrolase;Membrane;Protease;Reference proteome;Transmembrane;Transmembrane helix	proteolysis [GO:0006508]	plasma membrane [GO:0005886]
P77626	SUTR_ECOLI	sutR ydcN b1434 JW1430	HTH-type transcriptional regulator SutR (Sulfur utilization regulator)	Escherichia coli (strain K12)	178		Activator;DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation	negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of DNA-templated transcription [GO:0006355]	
P77650	HCAD_ECOLI	hcaD hcaA4 phdA yfhY b2542 JW2526	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD(+) reductase component (EC 1.18.1.3)	Escherichia coli (strain K12)	400		Aromatic hydrocarbons catabolism;FAD;Flavoprotein;NAD;Oxidoreductase;Reference proteome	3-phenylpropionate catabolic process [GO:0019380]	3-phenylpropionate dioxygenase complex [GO:0009334]
P77690	ARNB_ECOLI	arnB pmrH yfbE b2253 JW5372	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (Polymyxin resistance protein PmrH) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	Escherichia coli (strain K12)	385		Aminotransferase;Antibiotic resistance;Lipid A biosynthesis;Lipid biosynthesis;Lipid metabolism;Lipopolysaccharide biosynthesis;Pyridoxal phosphate;Reference proteome;Transferase	lipid A biosynthetic process [GO:0009245]; lipopolysaccharide biosynthetic process [GO:0009103]; polysaccharide biosynthetic process [GO:0000271]; response to antibiotic [GO:0046677]	cytoplasm [GO:0005737]; membrane [GO:0016020]
P77704	YDJI_ECOLI	ydjI b1773 JW1762	L-glycero-L-galacto-octuluronate-1-phosphate aldolase (EC 4.1.2.-)	Escherichia coli (strain K12)	278		3D-structure;Carbohydrate metabolism;Lyase;Metal-binding;Reference proteome;Zinc	carbohydrate metabolic process [GO:0005975]; protein homotetramerization [GO:0051289]	cytosol [GO:0005829]
P77716	YCJP_ECOLI	ycjP b1312 JW1305	Maltose transport system permease protein YcjP	Escherichia coli (strain K12)	280	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255}.	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Sugar transport;Transmembrane;Transmembrane helix;Transport	transmembrane transport [GO:0055085]	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; membrane [GO:0016020]; plasma membrane [GO:0005886]
P77731	ALLA_ECOLI	allA glxA2 ybbT b0505 JW0493	Ureidoglycolate lyase (EC 4.3.2.3) (Ureidoglycolatase) (Ureidoglycolate hydrolase)	Escherichia coli (strain K12)	160		3D-structure;Lyase;Purine metabolism;Reference proteome	allantoin catabolic process [GO:0000256]; purine nucleobase catabolic process [GO:0006145]	
P77733	FOCB_ECOLI	focB b2492 JW2477	Formate channel FocB (Formate transporter FocB)	Escherichia coli (strain K12)	282	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255}.	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	formate transport [GO:0015724]; mixed acid fermentation [GO:0019664]	plasma membrane [GO:0005886]
P77735	YAJO_ECOLI	yajO b0419 JW0409	1-deoxyxylulose-5-phosphate synthase YajO (EC 1.1.-.-)	Escherichia coli (strain K12)	324		Oxidoreductase;Reference proteome	isoprenoid biosynthetic process via mevalonate [GO:1902767]; thiamine metabolic process [GO:0006772]	cytosol [GO:0005829]
P77737	OPPF_ECOLI	oppF b1247 JW1239	Oligopeptide transport ATP-binding protein OppF (EC 7.4.2.6)	Escherichia coli (strain K12)	334	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000250|UniProtKB:P08007}; Peripheral membrane protein {ECO:0000250|UniProtKB:P08007}.	3D-structure;ATP-binding;Cell inner membrane;Cell membrane;Membrane;Nucleotide-binding;Peptide transport;Protein transport;Reference proteome;Translocase;Transport	oligopeptide import across plasma membrane [GO:0140205]; peptidoglycan-associated peptide transport [GO:0015834]; protein transport [GO:0015031]; tripeptide import across plasma membrane [GO:0140207]	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; membrane [GO:0016020]; plasma membrane [GO:0005886]
P77743	PRPR_ECOLI	prpR yahP b0330 JW0322	Propionate catabolism operon regulatory protein	Escherichia coli (strain K12)	528		3D-structure;ATP-binding;DNA-binding;Nucleotide-binding;Reference proteome;Transcription;Transcription regulation;Two-component regulatory system	negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of DNA-templated transcription [GO:0045893]; propionate catabolic process, 2-methylcitrate cycle [GO:0019629]; response to radiation [GO:0009314]	cytoplasm [GO:0005737]; protein-DNA complex [GO:0032993]
P77747	OMPN_ECOLI	ompN ynaG b1377 JW1371	Outer membrane porin N (Outer membrane protein N) (Porin OmpN)	Escherichia coli (strain K12)	377	SUBCELLULAR LOCATION: Cell outer membrane; Multi-pass membrane protein.	Cell outer membrane;Direct protein sequencing;Ion transport;Membrane;Porin;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport	carbohydrate transmembrane transport [GO:0034219]; monoatomic ion transmembrane transport [GO:0034220]	cell outer membrane [GO:0009279]; membrane [GO:0016020]; pore complex [GO:0046930]
P77756	QUEC_ECOLI	queC ybaX b0444 JW0434	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	Escherichia coli (strain K12)	231		ATP-binding;Ligase;Metal-binding;Nucleotide-binding;Queuosine biosynthesis;Reference proteome;Zinc	tRNA queuosine(34) biosynthetic process [GO:0008616]	
P77757	ARNC_ECOLI	arnC pmrF yfbF b2254 JW2248	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Polymyxin resistance protein PmrF) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	Escherichia coli (strain K12)	322	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	Antibiotic resistance;Cell inner membrane;Cell membrane;Glycosyltransferase;Lipid A biosynthesis;Lipid biosynthesis;Lipid metabolism;Lipopolysaccharide biosynthesis;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix	4-amino-4-deoxy-alpha-L-arabinopyranosyl undecaprenyl phosphate biosynthetic process [GO:0036108]; lipid A biosynthetic process [GO:0009245]; lipopolysaccharide biosynthetic process [GO:0009103]; response to antibiotic [GO:0046677]	membrane [GO:0016020]; plasma membrane [GO:0005886]
P77783	YNFF_ECOLI	ynfF b1588 JW5260	Probable dimethyl sulfoxide reductase chain YnfF (DMSO reductase) (EC 1.8.99.-)	Escherichia coli (strain K12)	807	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}.	4Fe-4S;Cell membrane;Iron;Iron-sulfur;Membrane;Metal-binding;Molybdenum;Oxidoreductase;Reference proteome;Signal	anaerobic respiration [GO:0009061]	outer membrane-bounded periplasmic space [GO:0030288]; oxidoreductase complex [GO:1990204]; plasma membrane [GO:0005886]
P77790	DDPX_ECOLI	ddpX vanX yddT b1488 JW1483	D-alanyl-D-alanine dipeptidase (D-Ala-D-Ala dipeptidase) (EC 3.4.13.22)	Escherichia coli (strain K12)	193	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:9751644}.	Cell wall biogenesis/degradation;Cytoplasm;Dipeptidase;Hydrolase;Metal-binding;Metalloprotease;Protease;Reference proteome;Zinc	cell wall organization [GO:0071555]; proteolysis [GO:0006508]; response to starvation [GO:0042594]	cytoplasm [GO:0005737]
P78285	LYSD_ECOLI	rrrD arrD ybcS b0555 JW0544	Lysozyme RrrD (EC 3.2.1.17) (Endolysin) (Lysis protein) (Muramidase)	Escherichia coli (strain K12)	165		3D-structure;Antimicrobial;Bacteriolytic enzyme;Glycosidase;Hydrolase;Reference proteome	cell wall macromolecule catabolic process [GO:0016998]; defense response to bacterium [GO:0042742]; peptidoglycan catabolic process [GO:0009253]; viral release from host cell by cytolysis [GO:0044659]	
P80644	SSUE_ECOLI	ssuE ycbP b0937 JW0920	FMN reductase (NADPH) (EC 1.5.1.38) (FMN reductase) (Sulfate starvation-induced protein 4) (SSI4)	Escherichia coli (strain K12)	191		3D-structure;Direct protein sequencing;Flavoprotein;FMN;NADP;Oxidoreductase;Reference proteome	alkanesulfonate catabolic process [GO:0046306]; cellular response to sulfate starvation [GO:0009970]; DNA damage response [GO:0006974]	FMN reductase complex [GO:1990202]
Q2EES9	TORI_ECOLI	torI b4501 JW5387	Response regulator inhibitor for tor operon (Tor inhibitor)	Escherichia coli (strain K12)	66		3D-structure;DNA recombination;DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation	DNA recombination [GO:0006310]; negative regulation of DNA-templated transcription initiation [GO:2000143]	
Q46799	XDHA_ECOLI	xdhA ygeS b2866 JW5462	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA (EC 1.17.1.4)	Escherichia coli (strain K12)	752		Metal-binding;Molybdenum;NAD;Oxidoreductase;Purine metabolism;Purine salvage;Reference proteome	hypoxanthine catabolic process [GO:0009114]; purine ribonucleoside salvage [GO:0006166]	cytoplasm [GO:0005737]; xanthine dehydrogenase complex [GO:0002197]
Q46800	XDHB_ECOLI	xdhB ygeT b2867 JW2835	Putative xanthine dehydrogenase FAD-binding subunit XdhB (EC 1.17.1.4)	Escherichia coli (strain K12)	292		FAD;Flavoprotein;NAD;Oxidoreductase;Purine metabolism;Purine salvage;Reference proteome	hypoxanthine catabolic process [GO:0009114]; purine ribonucleoside salvage [GO:0006166]	cytoplasm [GO:0005737]; xanthine dehydrogenase complex [GO:0002197]
