accession	ft_transit	ft_signal	cc_subcellular_location
Q9NZ45			SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:17376863, ECO:0000269|PubMed:17766439, ECO:0000269|PubMed:17905743, ECO:0000269|PubMed:18047834}; Single-pass type III membrane protein {ECO:0000269|PubMed:17376863, ECO:0000269|PubMed:17766439, ECO:0000269|PubMed:17905743, ECO:0000269|PubMed:18047834}.
Q9NZB8	"TRANSIT 1..21; /note=""Mitochondrion""; /evidence=""ECO:0000305|PubMed:31996372"""		SUBCELLULAR LOCATION: [Isoform MOCS1A]: Mitochondrion matrix {ECO:0000269|PubMed:31996372}.; SUBCELLULAR LOCATION: [Isoform MOCS1B]: Mitochondrion matrix {ECO:0000269|PubMed:31996372}.; SUBCELLULAR LOCATION: [Isoform 9]: Mitochondrion matrix {ECO:0000269|PubMed:31996372}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm, cytosol {ECO:0000269|PubMed:31996372}.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm {ECO:0000269|PubMed:31996372}. Note=Found in aggregates not co-localized with mitochondria. {ECO:0000269|PubMed:31996372}.; SUBCELLULAR LOCATION: [Isoform 8]: Mitochondrion matrix {ECO:0000269|PubMed:31996372}.
Q9NZE8	"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042}.
Q9NZJ6	"TRANSIT 1..85; /note=""Mitochondrion""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03190"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000255|HAMAP-Rule:MF_03190, ECO:0000269|PubMed:27499296}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_03190}; Matrix side {ECO:0000255|HAMAP-Rule:MF_03190}.
Q9NZJ7			SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000305|PubMed:12377771}; Multi-pass membrane protein {ECO:0000255}.
Q9P032			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:18179882}. Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}.
Q9P0J0			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:12628925, ECO:0000269|PubMed:15059901, ECO:0000269|PubMed:15367666}; Single-pass membrane protein {ECO:0000255}; Matrix side. Nucleus {ECO:0000269|PubMed:12628925}. Note=Localizes mainly in the mitochondrion (PubMed:12628925). May be translocated into the nucleus upon IFN/RA treatment. {ECO:0000269|PubMed:12628925, ECO:0000269|PubMed:15059901}.
Q9P0J1	"TRANSIT 1..71; /note=""Mitochondrion""; /evidence=""ECO:0000250|UniProtKB:P35816"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:19184109}.
Q9P0P8	"TRANSIT 1..84; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:31226201"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:31226201, ECO:0000269|PubMed:31396629}.
Q9P0S2			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:29355485, ECO:0000269|PubMed:29381136}; Single-pass membrane protein {ECO:0000305|PubMed:29381136}.
Q9P0S9			SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q9P0U1			SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:12198123}; Single-pass membrane protein {ECO:0000269|PubMed:12198123, ECO:0000269|PubMed:40080546}.
Q9P2R7	"TRANSIT 1..52; /note=""Mitochondrion""; /evidence=""ECO:0007744|PubMed:25944712"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03220, ECO:0000269|PubMed:15877282, ECO:0000269|PubMed:17287286, ECO:0000269|PubMed:25944712}.
Q9UBJ2			SUBCELLULAR LOCATION: Peroxisome membrane {ECO:0000269|PubMed:10329405, ECO:0000269|PubMed:21145416, ECO:0000269|PubMed:29397936}; Multi-pass membrane protein {ECO:0000255}.
Q9UBQ7			
Q9UBX3			SUBCELLULAR LOCATION: Mitochondrion inner membrane; Multi-pass membrane protein.
Q9UDR5	"TRANSIT 1..27; /note=""Mitochondrion""; /evidence=""ECO:0000250|UniProtKB:Q99K67"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:463877}.
Q9UDW1			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P22289}; Single-pass membrane protein {ECO:0000250|UniProtKB:P22289}.
Q9UF12			
Q9UG56	"TRANSIT 1..52; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: [Phosphatidylserine decarboxylase beta chain]: Mitochondrion inner membrane {ECO:0000255|HAMAP-Rule:MF_03208, ECO:0000305|PubMed:30858161, ECO:0000305|PubMed:33718843}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_03208}; Intermembrane side {ECO:0000255|HAMAP-Rule:MF_03208}.; SUBCELLULAR LOCATION: [Phosphatidylserine decarboxylase alpha chain]: Mitochondrion inner membrane {ECO:0000255|HAMAP-Rule:MF_03208, ECO:0000305|PubMed:30858161, ECO:0000305|PubMed:33718843}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_03208}; Intermembrane side {ECO:0000255|HAMAP-Rule:MF_03208}. Cytoplasm {ECO:0000269|PubMed:33593792}. Note=Anchored to the mitochondrial inner membrane through its interaction with the integral membrane beta chain. {ECO:0000255|HAMAP-Rule:MF_03208}.; SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion inner membrane {ECO:0000269|PubMed:33593792}.; SUBCELLULAR LOCATION: [Isoform 2]: Mitochondrion inner membrane {ECO:0000269|PubMed:33593792}. Lipid droplet {ECO:0000269|PubMed:33593792}. Note=Predominantly localizes to lipid droplets in lipid-replete conditions, and to mitochondria in lipid-deplete conditions. {ECO:0000269|PubMed:33593792}.
Q9UGC7	"TRANSIT 1..26; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:17803939}.
Q9UGM6	"TRANSIT 1..18; /note=""Mitochondrion"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:28236339}. Mitochondrion {ECO:0000269|PubMed:10828066}.
Q9UHK6			SUBCELLULAR LOCATION: Peroxisome {ECO:0000269|PubMed:11060344, ECO:0000269|PubMed:11060359, ECO:0000269|PubMed:7649182}. Mitochondrion {ECO:0000269|PubMed:11060344, ECO:0000269|PubMed:11060359, ECO:0000269|PubMed:7649182}.
Q9UHN1	"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:P54098}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000250|UniProtKB:P54098}.
Q9UI09			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:12611891}; Peripheral membrane protein {ECO:0000255}; Matrix side {ECO:0000305}.
Q9UI17	"TRANSIT 1..50; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion.
Q9UI32	"TRANSIT 1..14; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:20378837}.
Q9UI43	"TRANSIT 1..18; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:24036117, ECO:0000269|PubMed:25009282}.
Q9UIF7			SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:25820570}. Mitochondrion {ECO:0000250|UniProtKB:Q99P21}.
Q9UII2	"TRANSIT 1..25; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:19892738, ECO:0007744|PubMed:25944712"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:12110673}.
Q9UIJ7			SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000255|HAMAP-Rule:MF_03169, ECO:0000269|PubMed:11485571}.
Q9UJ68	"TRANSIT 1..23; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:12039877"""		SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion {ECO:0000269|PubMed:16364291}. Mitochondrion matrix {ECO:0000269|PubMed:12039877}. Cytoplasm {ECO:0000269|PubMed:16364291}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:16364291}.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm {ECO:0000269|PubMed:16364291}. Nucleus {ECO:0000269|PubMed:16364291}.; SUBCELLULAR LOCATION: [Isoform 5]: Cytoplasm. Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}.
Q9UJA2			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:16547353, ECO:0000305|PubMed:16547353}; Multi-pass membrane protein {ECO:0000269|PubMed:16547353}.
Q9UJS0			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:10642534, ECO:0000269|PubMed:11566871, ECO:0000269|PubMed:39419476}; Multi-pass membrane protein {ECO:0000269|PubMed:11566871}.
Q9UJZ1	"TRANSIT 1..28; /note=""Mitochondrion""; /evidence=""ECO:0000305"""		SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10713127, ECO:0000269|PubMed:18641330, ECO:0000269|PubMed:21746876, ECO:0000269|PubMed:22623988}; Peripheral membrane protein {ECO:0000269|PubMed:10713127}. Mitochondrion {ECO:0000269|PubMed:18641330, ECO:0000269|PubMed:19597348, ECO:0000269|PubMed:22623988}. Mitochondrion inner membrane {ECO:0000269|PubMed:17121834, ECO:0000269|PubMed:18339324, ECO:0000269|PubMed:21746876}; Lipid-anchor {ECO:0000269|PubMed:21746876}. Mitochondrion intermembrane space {ECO:0000269|PubMed:17121834}. Membrane raft {ECO:0000269|PubMed:18641330}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:10713127, ECO:0000269|PubMed:18641330}. Note=Behaves as an integral membrane protein of the mitochondrion despite the absence of a detectable transmembrane domain (PubMed:21746876). Also associates with the actin cytoskeleton and membrane rafts in activated T-cells (PubMed:10713127, PubMed:18641330). A minor pool is associated with the plasma membrane and is enriched at the immunological synapse in activated T-cells (PubMed:22623988). {ECO:0000269|PubMed:10713127, ECO:0000269|PubMed:18641330, ECO:0000269|PubMed:21746876, ECO:0000269|PubMed:22623988}.
Q9UK39	"TRANSIT 1..75; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:O35710}. Nucleus {ECO:0000250|UniProtKB:O35710}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:O35710}. Mitochondrion {ECO:0000269|PubMed:31147539}.
Q9UKA2			SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Mitochondrion outer membrane {ECO:0000269|PubMed:36896912}.
Q9UKG9			SUBCELLULAR LOCATION: Peroxisome {ECO:0000305}.
Q9UKK9			SUBCELLULAR LOCATION: Nucleus {ECO:0000305|PubMed:27257257}.
Q9UKU0			SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Peroxisome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Microsome membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:24269233}; Single-pass type III membrane protein {ECO:0000250}.
Q9UKU7	"TRANSIT 1..22; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:11013134, ECO:0000269|PubMed:12359132}.
Q9UL12	"TRANSIT 1..22; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250|UniProtKB:Q64380}.
Q9ULD0	"TRANSIT 1..73; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:23152800}.
Q9UMS0	"TRANSIT 1..9; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion. Cytoplasm, cytosol.
Q9UMX3			SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion membrane {ECO:0000250|UniProtKB:O35425}; Single-pass membrane protein {ECO:0000250|UniProtKB:O35425}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:27076518}; Single-pass membrane protein {ECO:0000250|UniProtKB:O35425}. Mitochondrion inner membrane {ECO:0000269|PubMed:24113155}. Cytoplasm {ECO:0000269|PubMed:15868100, ECO:0000269|PubMed:16302269, ECO:0000269|PubMed:19942931, ECO:0000269|PubMed:20673843, ECO:0000269|PubMed:24113155}. Nucleus {ECO:0000269|PubMed:16302269, ECO:0000269|PubMed:19942931, ECO:0000269|PubMed:20673843}. Mitochondrion {ECO:0000269|PubMed:15102863, ECO:0000269|PubMed:15868100, ECO:0000269|PubMed:19942931, ECO:0000269|PubMed:27076518}. Endoplasmic reticulum {ECO:0000269|PubMed:16302269}. Mitochondrion outer membrane {ECO:0000269|PubMed:27076518}. Early endosome membrane {ECO:0000250|UniProtKB:O35425}. Recycling endosome membrane {ECO:0000250|UniProtKB:O35425}. Nucleus outer membrane {ECO:0000250|UniProtKB:O35425}. Golgi apparatus, cis-Golgi network membrane {ECO:0000250|UniProtKB:O35425}. Golgi apparatus, trans-Golgi network membrane {ECO:0000250|UniProtKB:O35425}. Membrane {ECO:0000269|PubMed:19942931}. Note=Nuclear and cytoplasmic compartments in the early stages of apoptosis and during apoptosis it associates with mitochondria (PubMed:19942931). In healthy cells, associates loosely with the membrane in a hit-and-run mode. The insertion and accumulation on membranes is enhanced through the activity of death signals, resulting in the integration of the membrane-bound protein into the membrane (PubMed:15868100). The transmembrane domain controls subcellular localization; constitutes a tail-anchor. Localizes in early and late endosome upon blocking of apoptosis. Must localize to the mitochondria to induce mitochondrial outer membrane permeabilization and apoptosis (By similarity). {ECO:0000250|UniProtKB:O35425, ECO:0000269|PubMed:15868100, ECO:0000269|PubMed:19942931}.; SUBCELLULAR LOCATION: [Isoform 2]: Membrane {ECO:0000269|PubMed:19942931}. Cytoplasm {ECO:0000269|PubMed:19942931}.
Q9UQ90	"TRANSIT 1..43; /note=""Mitochondrion""; /evidence=""ECO:0000250|UniProtKB:Q3ULF4"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:9635427}; Multi-pass membrane protein {ECO:0000255}.
Q9Y234	"TRANSIT 1..25; /note=""Mitochondrion""; /evidence=""ECO:0000250"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:O46419}.
Q9Y241			SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000255|PROSITE-ProRule:PRU00836, ECO:0000269|PubMed:22342701}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00836, ECO:0000269|PubMed:22342701}. Mitochondrion inner membrane {ECO:0000305|PubMed:22342701}.
Q9Y255	"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:14640972"""		SUBCELLULAR LOCATION: Mitochondrion. Mitochondrion intermembrane space {ECO:0000269|PubMed:14640972, ECO:0000269|PubMed:18945965, ECO:0000269|PubMed:21364629, ECO:0000269|PubMed:23931759}.
Q9Y276			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:18628306, ECO:0000269|PubMed:9878253}; Single-pass membrane protein {ECO:0000255}.
Q9Y277			SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250|UniProtKB:P21796}. Membrane {ECO:0000269|PubMed:27641616}. Note=May localize to non-mitochondrial membranes. {ECO:0000269|PubMed:27641616}.
Q9Y2C4	"TRANSIT 1..41; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:18187503}.
Q9Y2D0	"TRANSIT 1..33; /note=""Mitochondrion"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:10409679}.
Q9Y2Q3			SUBCELLULAR LOCATION: Peroxisome {ECO:0000269|PubMed:14742434}.
Q9Y2R0			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:23260140}; Single-pass membrane protein {ECO:0000269|PubMed:23260140}.
Q9Y2S7	"TRANSIT 1..51; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:16428295}. Nucleus {ECO:0000269|PubMed:16428295}. Note=Mainly localizes to the mitochondrial matrix; a small fraction localizes in the nucleus. {ECO:0000269|PubMed:16428295}.
Q9Y2W6			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q80VL1}. Mitochondrion {ECO:0000250|UniProtKB:Q80VL1}. Note=Probable component of the meiotic nuage, also named P granule, a germ-cell-specific organelle required to repress transposon activity during meiosis. Colocalizes with pi- and piP-bodies, a subset of the nuage which contains secondary piRNAs. Associated with mitochondria in the germline. {ECO:0000250|UniProtKB:Q80VL1}.
Q9Y2Z2	"TRANSIT 1..25; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q923Z3}.
Q9Y2Z4	"TRANSIT 1..16; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:15779907, ECO:0000269|PubMed:30006346}.
Q9Y2Z9	"TRANSIT 1..28; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000255|HAMAP-Rule:MF_03193, ECO:0000269|PubMed:27499296}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_03193}; Matrix side {ECO:0000255|HAMAP-Rule:MF_03193}. Golgi apparatus {ECO:0000255|HAMAP-Rule:MF_03193}. Cell projection {ECO:0000255|HAMAP-Rule:MF_03193}. Note=Localizes to cell processes and Golgi apparatus in podocytes. {ECO:0000255|HAMAP-Rule:MF_03193}.
Q9NVS2	"TRANSIT 1..34; /note=""Mitochondrion""; /evidence=""ECO:0000250"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042}.
Q9NX20	"TRANSIT 1..29; /note=""Mitochondrion""; /evidence=""ECO:0000250|UniProtKB:Q3T0J3"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042}.
Q9NYJ1			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:23676665}.
Q9P015	"TRANSIT 1..21; /note=""Mitochondrion""; /evidence=""ECO:0000250|UniProtKB:Q0VC21"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042}.
Q9P0J6	"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379}.
Q9P0M9	"TRANSIT 1..30; /note=""Mitochondrion""; /evidence=""ECO:0000250|UniProtKB:Q32PC3"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:11279069, ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042}.
Q9P291			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q9CX83}. Mitochondrion outer membrane {ECO:0000250|UniProtKB:Q9CX83}; Single-pass membrane protein {ECO:0000255}.
Q9P2J9	"TRANSIT 1..66; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:O88484}.
Q9UDX5			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:15155745, ECO:0000305|PubMed:15985469}; Multi-pass membrane protein {ECO:0000305|PubMed:15155745, ECO:0000305|PubMed:15985469}.
Q9UH62			SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250|UniProtKB:Q8BHS6}; Single-pass membrane protein {ECO:0000255}. Cytoplasm {ECO:0000250|UniProtKB:Q8BHS6}. Nucleus {ECO:0000250|UniProtKB:Q8BHS6}.
Q9Y2Q9	"TRANSIT 1..71; /note=""Mitochondrion""; /evidence=""ECO:0000250"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25838379}.
Q9Y2R9	"TRANSIT 1..37; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25838379}.
Q9UFN0			SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:12427096}. Note=May be part of some vesicular structure distinct from lysosomal vesicles.
Q9Y291			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:11279123}.
Q9Y2R5	"TRANSIT 1..20; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25838379}.
Q9NX36			
Q9Y305	"TRANSIT 1..21; /note=""Mitochondrion""; /evidence=""ECO:0000250"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q9R0X4}. Mitochondrion matrix {ECO:0000250|UniProtKB:Q9R0X4}. Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q9R0X4}.
Q9Y375	"TRANSIT 1..24; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:16218961, ECO:0000269|PubMed:17557076}. Mitochondrion matrix {ECO:0000305|PubMed:17557076}. Note=Peripherally associated with the matrix face of the mitochondrial inner membrane. {ECO:0000305|PubMed:17557076}.
Q9Y399			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25838379}.
Q9Y3A0	"TRANSIT 1..30; /note=""Mitochondrion""; /evidence=""ECO:0000255|HAMAP-Rule:MF_03111"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000255|HAMAP-Rule:MF_03111, ECO:0000269|PubMed:27499296}; Peripheral membrane protein; Matrix side.
Q9Y3B8	"TRANSIT 1..25; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion intermembrane space {ECO:0000269|PubMed:23741365}. Mitochondrion matrix {ECO:0000269|PubMed:23741365}. Mitochondrion {ECO:0000269|PubMed:32365187}. Cytoplasm {ECO:0000269|PubMed:23741365, ECO:0000269|PubMed:32365187}. Nucleus {ECO:0000269|PubMed:32365187}.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm {ECO:0000269|PubMed:32365187}. Nucleus {ECO:0000269|PubMed:32365187}.
Q9Y3D2	"TRANSIT 1..20; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:18424444, ECO:0000269|PubMed:25078755}.
Q9Y3D3	"TRANSIT 1..34; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25838379}.
Q9Y3D6			SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:12783892, ECO:0000269|PubMed:14623186, ECO:0000269|PubMed:14996942, ECO:0000269|PubMed:16107562}; Single-pass membrane protein {ECO:0000269|PubMed:14996942}. Peroxisome membrane {ECO:0000269|PubMed:16107562}; Single-pass membrane protein {ECO:0000305|PubMed:16107562}.
Q9Y3D7			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:11750097, ECO:0000269|PubMed:20053669}; Peripheral membrane protein {ECO:0000269|PubMed:11750097, ECO:0000269|PubMed:20053669}; Matrix side {ECO:0000269|PubMed:11750097, ECO:0000269|PubMed:20053669}.
Q9Y3E5			SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:27184847}; Single-pass membrane protein {ECO:0000255}.
Q9Y4W6	"TRANSIT 1..38; /note=""Mitochondrion""; /evidence=""ECO:0000250|UniProtKB:Q8JZQ2"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:10395799, ECO:0000305|PubMed:22354088, ECO:0000305|PubMed:31327635}; Multi-pass membrane protein {ECO:0000255}.
Q9Y512			SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:15644312}; Multi-pass membrane protein. Cytoplasm {ECO:0000250|UniProtKB:Q6AXV4}. Mitochondrion {ECO:0000269|PubMed:25781180}.
Q9Y584			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:27265872}; Multi-pass membrane protein {ECO:0000255}.
Q9Y5J6			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:11489896, ECO:0000269|PubMed:14726512}; Peripheral membrane protein {ECO:0000269|PubMed:11489896, ECO:0000269|PubMed:14726512}.
Q9Y5J7			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:11489896, ECO:0000269|PubMed:14726512}; Peripheral membrane protein {ECO:0000269|PubMed:11489896, ECO:0000269|PubMed:14726512}; Intermembrane side {ECO:0000269|PubMed:11489896, ECO:0000269|PubMed:14726512}.
Q9Y5L4			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:11489896}; Peripheral membrane protein {ECO:0000269|PubMed:11489896}; Intermembrane side {ECO:0000269|PubMed:11489896}.
Q9Y5T4			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:23263864, ECO:0000269|PubMed:23530063}; Single-pass membrane protein {ECO:0000269|PubMed:23263864, ECO:0000269|PubMed:23530063}.
Q9Y5U8			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:22628558, ECO:0000269|PubMed:26253029}; Multi-pass membrane protein {ECO:0000269|PubMed:40044865, ECO:0000269|PubMed:40101766}.
Q9Y606	"TRANSIT 1..?; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion {ECO:0000269|PubMed:17056637, ECO:0000305|PubMed:15772074}.; SUBCELLULAR LOCATION: [Isoform 2]: Nucleus {ECO:0000269|PubMed:17056637, ECO:0000305|PubMed:15772074}. Cytoplasm {ECO:0000305|PubMed:15772074}.
Q9Y619			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q12375}; Multi-pass membrane protein {ECO:0000255}. Mitochondrion membrane {ECO:0000269|PubMed:10369256}; Multi-pass membrane protein {ECO:0000255}.
Q9Y676	"TRANSIT 1..35; /note=""Mitochondrion""; /evidence=""ECO:0000250|UniProtKB:P82918"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25838379}.
