uniprot_accession	cluster_id	cluster_representative	cluster_size	organism	dataset_labels
Q9H3B2	14802	Q9H3B2	1	unknown	background
Q9H3C7	14803	Q9H3C7	1	unknown	background
Q9H3D4	1199	P04637	3	unknown	background
Q9H3E2	14804	Q9H3E2	1	unknown	background
Q9H3F6	1750	Q9H3F6	3	unknown	background
Q9H3G5	14805	Q9H3G5	1	unknown	background
Q9H3H1	14806	Q9H3H1	1	human	matrix,mito
Q9H3H3	14807	Q9H3H3	1	unknown	background
Q9H3H5	14808	Q9H3H5	1	unknown	background
Q9H3H9	14809	Q9H3H9	1	unknown	background
Q9H3J6	14810	Q9H3J6	1	human	matrix,mito
Q9H3K2	14811	Q9H3K2	1	human	mito
Q9H3K6	1751	Q9H3K6	3	unknown	background
Q9H3L0	14812	Q9H3L0	1	human	matrix,mito
Q9H3M0	100	Q6PIU1	15	unknown	background
Q9H3M7	985	Q96B67	4	unknown	background
Q9H3M9	3680	Q9H3M9	2	unknown	background
Q9H3N1	3681	Q9H3N1	2	unknown	background
Q9H3N8	3682	Q9H3N8	2	unknown	background
Q9H3P2	14813	Q9H3P2	1	unknown	background
Q9H3P7	14814	Q9H3P7	1	unknown	background
Q9H3Q1	14815	Q9H3Q1	1	unknown	background
Q9H3Q3	1014	Q9H3Q3	4	unknown	background
Q9H3R0	434	A0A1W2PPD8	6	unknown	background
Q9H3R1	1015	Q9H3R1	4	unknown	background
Q9H3R2	14816	Q9H3R2	1	unknown	background
Q9H3R5	14817	Q9H3R5	1	unknown	background
Q9H3S1	531	Q9NTN9	6	unknown	background
Q9H3S3	165	P10323	11	unknown	background
Q9H3S4	14818	Q9H3S4	1	unknown	background
Q9H3S5	14819	Q9H3S5	1	unknown	background
Q9H3S7	14820	Q9H3S7	1	unknown	background
Q9H3T2	971	Q8NFY4	4	unknown	background
Q9H3T3	971	Q8NFY4	4	unknown	background
Q9H3U1	3253	Q8IWX7	2	unknown	background
Q9H3U5	14821	Q9H3U5	1	unknown	background
Q9H3U7	3687	Q9H4F8	2	unknown	background
Q9H3V2	14822	Q9H3V2	1	unknown	background
Q9H3W5	1151	O75325	3	unknown	background
Q9H3Y0	3683	Q9H3Y0	2	unknown	background
Q9H3Y6	46	P42679	21	unknown	background
Q9H3Y8	14823	Q9H3Y8	1	unknown	background
Q9H3Z4	1813	Q9UF47	3	unknown	background
Q9H3Z7	3684	Q9H3Z7	2	unknown	background
Q9H400	14824	Q9H400	1	unknown	background
Q9H410	14825	Q9H410	1	unknown	background
Q9H422	1752	Q9H422	3	unknown	background
Q9H425	14826	Q9H425	1	unknown	background
Q9H426	3685	Q9H426	2	unknown	background
Q9H427	288	Q96T55	8	unknown	background
Q9H444	1722	Q9BY43	3	unknown	background
Q9H446	14827	Q9H446	1	unknown	background
Q9H461	182	O75084	10	unknown	background
Q9H467	14828	Q9H467	1	unknown	background
Q9H469	14829	Q9H469	1	unknown	background
Q9H477	2247	P0A9J6	2	unknown	background
Q9H478	14830	Q9H478	1	unknown	background
Q9H479	3719	Q9HA64	2	unknown	background
Q9H488	14831	Q9H488	1	unknown	background
Q9H489	105	Q9H0U9	15	unknown	background
Q9H490	14832	Q9H490	1	unknown	background
Q9H492	291	Q9H0R8	8	unknown	background
Q9H496	14833	Q9H496	1	unknown	background
Q9H497	653	Q5JU69	5	unknown	background
Q9H4A3	3928	Q9Y3S1	2	unknown	background
Q9H4A4	1213	P09960	3	unknown	background
Q9H4A5	3686	Q9H4A5	2	unknown	background
Q9H4A6	3686	Q9H4A5	2	human	mito
Q9H4A9	1753	Q9H4B8	3	unknown	background
Q9H4B0	1202	P05852	3	human	matrix,mito
Q9H4B4	1791	Q9NYY3	3	unknown	background
Q9H4B6	14834	Q9H4B6	1	unknown	background
Q9H4B7	49	Q9NRH3	21	unknown	background
Q9H4B8	1753	Q9H4B8	3	unknown	background
Q9H4D0	1754	Q9H4D0	3	unknown	background
Q9H4D5	1013	Q9H1B4	4	unknown	background
Q9H4E5	63	Q15669	19	unknown	background
Q9H4E7	3838	Q9UH65	2	unknown	background
Q9H4F1	1002	Q9BVH7	4	unknown	background
Q9H4F8	3687	Q9H4F8	2	unknown	background
Q9H4G0	814	P11171	4	unknown	background
Q9H4G1	1755	Q9H4G1	3	unknown	background
Q9H4G4	14835	Q9H4G4	1	unknown	background
Q9H4G8	3688	Q9H4G8	2	unknown	background
Q9H4H8	14836	Q9H4H8	1	unknown	background
Q9H4I0	3689	Q9H4I0	2	unknown	background
Q9H4I2	1824	Q9UKY1	3	unknown	background
Q9H4I3	14837	Q9H4I3	1	unknown	background
Q9H4I8	3752	Q9NQF3	2	human	mito
Q9H4I9	14838	Q9H4I9	1	human	mito
Q9H4K1	14839	Q9H4K1	1	unknown	background
Q9H4K7	1756	Q9H4K7	3	human	matrix,mito
Q9H4L4	3690	Q9H4L4	2	unknown	background
Q9H4L5	1731	Q9BZF3	3	unknown	background
Q9H4L7	14840	Q9H4L7	1	unknown	background
Q9H4M3	699	Q9H4M3	5	unknown	background
Q9H4M7	14841	Q9H4M7	1	unknown	background
Q9H4M9	1030	Q9NZN3	4	unknown	background
Q9H4P4	14842	Q9H4P4	1	unknown	background
Q9H4Q3	14843	Q9H4Q3	1	unknown	background
Q9H4Q4	14844	Q9H4Q4	1	unknown	background
Q9H4R4	14845	Q9H4R4	1	unknown	background
Q9H4S2	14846	Q9H4S2	1	unknown	background
Q9H4T2	48	Q9H4T2	21	unknown	background
Q9H4W6	1020	Q9HAK2	4	unknown	background
Q9H4X1	14847	Q9H4X1	1	unknown	background
Q9H4Y5	2805	P78417	2	unknown	background
Q9H4Z2	14848	Q9H4Z2	1	unknown	background
Q9H4Z3	14849	Q9H4Z3	1	unknown	background
Q9H501	14850	Q9H501	1	unknown	background
Q9H503	2081	O75531	2	unknown	background
Q9H511	236	Q9P2N7	9	unknown	background
Q9H521	14851	Q9H521	1	unknown	background
Q9H553	14852	Q9H553	1	unknown	background
Q9H560	436	A0AAG2TWA4	6	unknown	background
Q9H568	36	P62736	23	unknown	background
Q9H579	14853	Q9H579	1	unknown	background
Q9H582	14854	Q9H582	1	unknown	background
Q9H583	14855	Q9H583	1	unknown	background
Q9H596	64	Q8WUJ0	18	unknown	background
Q9H598	14856	Q9H598	1	unknown	background
Q9H5F2	14857	Q9H5F2	1	unknown	background
Q9H5H4	3	Q96IR2	176	unknown	background
Q9H5I1	3691	Q9H5I1	2	unknown	background
Q9H5I5	364	AF-Q9H5I5-F4-model_v6	7	unknown	background
Q9H5J0	1700	Q99592	3	unknown	background
Q9H5J4	3692	Q9H5J4	2	unknown	background
Q9H5J8	14858	Q9H5J8	1	unknown	background
Q9H5K3	14859	Q9H5K3	1	unknown	background
Q9H5L6	14860	Q9H5L6	1	unknown	background
Q9H5N1	14861	Q9H5N1	1	unknown	background
Q9H5P4	14862	Q9H5P4	1	unknown	background
Q9H5Q4	14863	Q9H5Q4	1	human	matrix,mito
Q9H5U6	14864	Q9H5U6	1	unknown	background
Q9H5V7	14865	Q9H5V7	1	unknown	background
Q9H5V8	14866	Q9H5V8	1	unknown	background
Q9H5V9	14867	Q9H5V9	1	unknown	background
Q9H5X1	3693	Q9H5X1	2	unknown	background
Q9H5Y7	463	O94933	6	unknown	background
Q9H5Z1	181	O43143	10	unknown	background
Q9H5Z6	14868	Q9H5Z6	1	unknown	background
Q9H606	14869	Q9H606	1	unknown	background
Q9H607	14870	Q9H607	1	unknown	background
Q9H609	14871	Q9H609	1	unknown	background
Q9H611	14872	Q9H611	1	human	matrix,mito
Q9H628	14873	Q9H628	1	unknown	background
Q9H633	14874	Q9H633	1	unknown	background
Q9H649	3694	Q9H649	2	human	matrix,mito
Q9H665	14875	Q9H665	1	unknown	background
Q9H668	14876	Q9H668	1	unknown	background
Q9H672	14877	Q9H672	1	unknown	background
Q9H693	14878	Q9H693	1	unknown	background
Q9H694	14879	Q9H694	1	unknown	background
Q9H6A0	1757	Q9H6A0	3	unknown	background
Q9H6A9	1078	A6NKB5	3	unknown	background
Q9H6B1	991	Q96PM9	4	unknown	background
Q9H6B4	14880	Q9H6B4	1	unknown	background
Q9H6B9	3695	Q9H6B9	2	unknown	background
Q9H6D3	14881	Q9H6D3	1	unknown	background
Q9H6D7	14882	Q9H6D7	1	unknown	background
Q9H6D8	3696	Q9H6D8	2	unknown	background
Q9H6E4	14883	Q9H6E4	1	unknown	background
Q9H6E5	14884	Q9H6E5	1	unknown	background
Q9H6F2	3782	Q9NVV0	2	unknown	background
Q9H6F5	14885	Q9H6F5	1	unknown	background
Q9H6H4	1016	Q9H6H4	4	unknown	background
Q9H6I2	14886	Q9H6I2	1	unknown	background
Q9H6J7	14887	Q9H6J7	1	unknown	background
Q9H6K1	14888	Q9H6K1	1	unknown	background
Q9H6K4	14889	Q9H6K4	1	human	mito
Q9H6K5	14890	Q9H6K5	1	unknown	background
Q9H6L2	14891	Q9H6L2	1	unknown	background
Q9H6L4	14892	Q9H6L4	1	unknown	background
Q9H6L5	14893	Q9H6L5	1	unknown	background
Q9H6N6	14894	Q9H6N6	1	unknown	background
Q9H6P5	1552	Q7L266	3	unknown	background
Q9H6Q3	3697	Q9H6Q3	2	unknown	background
Q9H6Q4	3848	Q9UHQ1	2	unknown	background
Q9H6R0	181	O43143	10	unknown	background
Q9H6R3	630	P77495	5	human	matrix,mito
Q9H6R4	14895	Q9H6R4	1	unknown	background
Q9H6R6	14896	Q9H6R6	1	unknown	background
Q9H6R7	14897	Q9H6R7	1	unknown	background
Q9H6S0	14898	Q9H6S0	1	unknown	background
Q9H6S1	14899	Q9H6S1	1	unknown	background
Q9H6S3	1758	Q9H6S3	3	unknown	background
Q9H6T0	3089	Q6NXG1	2	unknown	background
Q9H6T3	14900	Q9H6T3	1	unknown	background
Q9H6U6	14901	Q9H6U6	1	unknown	background
Q9H6U8	14902	Q9H6U8	1	unknown	background
Q9H6V9	14903	Q9H6V9	1	unknown	background
Q9H6W3	14904	Q9H6W3	1	unknown	background
Q9H6X2	1387	P58335	3	unknown	background
Q9H6X4	14905	Q9H6X4	1	unknown	background
Q9H6X5	14906	Q9H6X5	1	unknown	background
Q9H6Y2	14907	Q9H6Y2	1	unknown	background
Q9H6Y5	14908	Q9H6Y5	1	unknown	background
Q9H6Y7	1759	Q9H6Y7	3	unknown	background
Q9H6Z4	14909	Q9H6Z4	1	unknown	background
Q9H6Z9	1760	Q9H6Z9	3	unknown	background
Q9H706	3158	Q75VX8	2	unknown	background
Q9H707	2	A6NM28	207	unknown	background
Q9H714	3698	Q9H714	2	unknown	background
Q9H720	14910	Q9H720	1	unknown	background
Q9H741	14911	Q9H741	1	unknown	background
Q9H756	14912	Q9H756	1	unknown	background
Q9H765	14913	Q9H765	1	unknown	background
Q9H772	3699	Q9H772	2	unknown	background
Q9H773	14914	Q9H773	1	unknown	background
Q9H777	2241	P0A8V0	2	unknown	background
Q9H788	3016	Q5SQS7	2	unknown	background
Q9H790	14915	Q9H790	1	unknown	background
Q9H792	14916	Q9H792	1	unknown	background
Q9H799	365	AF-Q9H799-F4-model_v6	7	unknown	background
Q9H7B2	14918	Q9H7B2	1	unknown	background
Q9H7B4	1761	Q9H7B4	3	unknown	background
Q9H7B7	14919	Q9H7B7	1	unknown	background
Q9H7C4	14920	Q9H7C4	1	unknown	background
Q9H7C9	14921	Q9H7C9	1	unknown	background
Q9H7D0	700	Q9H7D0	5	unknown	background
Q9H7D7	14922	Q9H7D7	1	unknown	background
Q9H7E2	14923	Q9H7E2	1	unknown	background
Q9H7E9	14924	Q9H7E9	1	unknown	background
Q9H7F0	1017	Q9H7F0	4	unknown	background
Q9H7F4	3700	Q9H7F4	2	unknown	background
Q9H7H0	14925	Q9H7H0	1	human	hsp60,matrix,mito
Q9H7J1	3701	Q9H7J1	2	unknown	background
Q9H7L2	24	A0A376A8Z9	27	unknown	background
Q9H7L9	14926	Q9H7L9	1	unknown	background
Q9H7M6	1762	Q9H7M6	3	unknown	background
Q9H7M9	14927	Q9H7M9	1	unknown	background
Q9H7N4	14928	Q9H7N4	1	unknown	background
Q9H7P6	3506	Q96EY5	2	unknown	background
Q9H7P9	14929	Q9H7P9	1	unknown	background
Q9H7R0	3	Q96IR2	176	unknown	background
Q9H7R5	3	Q96IR2	176	unknown	background
Q9H7S9	3702	Q9H7S9	2	unknown	background
Q9H7T0	14930	Q9H7T0	1	unknown	background
Q9H7T3	14931	Q9H7T3	1	unknown	background
Q9H7T9	14932	Q9H7T9	1	unknown	background
Q9H7U1	14933	Q9H7U1	1	unknown	background
Q9H7V2	14934	Q9H7V2	1	unknown	background
Q9H7X0	14935	Q9H7X0	1	unknown	background
Q9H7X2	14936	Q9H7X2	1	unknown	background
Q9H7X3	2	A6NM28	207	unknown	background
Q9H7X7	14937	Q9H7X7	1	unknown	background
Q9H7Y0	3347	Q8NDZ4	2	unknown	background
Q9H7Z3	14938	Q9H7Z3	1	unknown	background
Q9H7Z6	1763	Q9H7Z6	3	unknown	background
Q9H7Z7	14939	Q9H7Z7	1	human	mito
Q9H808	14940	Q9H808	1	unknown	background
Q9H813	14941	Q9H813	1	unknown	background
Q9H814	14942	Q9H814	1	unknown	background
Q9H816	14943	Q9H816	1	unknown	background
Q9H819	1764	Q9H819	3	unknown	background
Q9H825	1018	Q9H825	4	human	matrix,mito
Q9H832	14944	Q9H832	1	unknown	background
Q9H840	14945	Q9H840	1	unknown	background
Q9H841	3703	Q9H841	2	unknown	background
Q9H845	260	P16219	8	human	hsp60,mito
Q9H853	14946	Q9H853	1	unknown	background
Q9H857	3704	Q9H857	2	human	hsp60,matrix,mito
Q9H867	681	Q8WXB1	5	unknown	background
Q9H869	14947	Q9H869	1	unknown	background
Q9H871	3705	Q9H871	2	unknown	background
Q9H875	14948	Q9H875	1	unknown	background
Q9H892	14949	Q9H892	1	unknown	background
Q9H898	3706	Q9H898	2	unknown	background
Q9H8E8	14950	Q9H8E8	1	unknown	background
Q9H8G1	3	Q96IR2	176	unknown	background
Q9H8G2	14951	Q9H8G2	1	unknown	background
Q9H8H0	14952	Q9H8H0	1	unknown	background
Q9H8H2	14953	Q9H8H2	1	unknown	background
Q9H8H3	3707	Q9H8H3	2	unknown	background
Q9H8J5	14954	Q9H8J5	1	unknown	background
Q9H8K7	14955	Q9H8K7	1	unknown	background
Q9H8L6	14956	Q9H8L6	1	unknown	background
Q9H8M1	3708	Q9H8M1	2	human	mito
Q9H8M2	3709	Q9H8M2	2	unknown	background
Q9H8M5	967	Q8NE01	4	unknown	background
Q9H8M7	14957	Q9H8M7	1	unknown	background
Q9H8M9	14958	Q9H8M9	1	unknown	background
Q9H8N7	1548	Q6ZNC4	3	unknown	background
Q9H8P0	14959	Q9H8P0	1	unknown	background
Q9H8Q6	14960	Q9H8Q6	1	unknown	background
Q9H8S5	14961	Q9H8S5	1	unknown	background
Q9H8S9	529	Q9H8S9	6	unknown	background
Q9H8T0	14962	Q9H8T0	1	unknown	background
Q9H8U3	14963	Q9H8U3	1	unknown	background
Q9H8V3	14964	Q9H8V3	1	unknown	background
Q9H8V8	14965	Q9H8V8	1	unknown	background
Q9H8W2	14966	Q9H8W2	1	unknown	background
Q9H8W3	14967	Q9H8W3	1	unknown	background
Q9H8W4	3710	Q9H8W4	2	unknown	background
Q9H8W5	14968	Q9H8W5	1	unknown	background
Q9H8X2	14969	Q9H8X2	1	unknown	background
Q9H8X3	14970	Q9H8X3	1	unknown	background
Q9H8X9	1253	P0C7U3	3	unknown	background
Q9H8Y1	14971	Q9H8Y1	1	unknown	background
Q9H8Y5	14972	Q9H8Y5	1	unknown	background
Q9H8Y8	3592	Q9BQQ3	2	unknown	background
Q9H900	14973	Q9H900	1	unknown	background
Q9H902	1016	Q9H6H4	4	unknown	background
Q9H903	1312	P24186	3	human	matrix,mito
Q9H910	14974	Q9H910	1	unknown	background
Q9H920	3711	Q9H920	2	unknown	background
Q9H930	1765	Q9H930	3	unknown	background
Q9H936	3670	Q9H1K4	2	human	mito
Q9H939	3712	Q9H939	2	unknown	background
Q9H944	14975	Q9H944	1	unknown	background
Q9H963	427	Q9H963	7	unknown	background
Q9H967	14976	Q9H967	1	unknown	background
Q9H972	14977	Q9H972	1	unknown	background
Q9H974	14978	Q9H974	1	unknown	background
Q9H977	14979	Q9H977	1	unknown	background
Q9H981	14980	Q9H981	1	unknown	background
Q9H987	14981	Q9H987	1	unknown	background
Q9H992	14982	Q9H992	1	unknown	background
Q9H993	14983	Q9H993	1	unknown	background
Q9H999	1630	Q8TE04	3	unknown	background
Q9H9A5	14984	Q9H9A5	1	unknown	background
Q9H9A6	14985	Q9H9A6	1	unknown	background
Q9H9A7	14986	Q9H9A7	1	unknown	background
Q9H9B1	3535	Q96KQ7	2	unknown	background
Q9H9B4	1019	Q9H9B4	4	human	mito
Q9H9C1	14987	Q9H9C1	1	unknown	background
Q9H9D4	14988	Q9H9D4	1	unknown	background
Q9H9E1	1994	O14593	2	unknown	background
Q9H9E3	14989	Q9H9E3	1	unknown	background
Q9H9F9	14990	Q9H9F9	1	unknown	background
Q9H9G7	1042	Q9UL18	4	unknown	background
Q9H9H4	3226	Q86XT2	2	unknown	background
Q9H9H5	14991	Q9H9H5	1	unknown	background
Q9H9J2	14992	Q9H9J2	1	human	hsp60,matrix,mito
Q9H9J4	3817	Q9P275	2	unknown	background
Q9H9K5	14993	Q9H9K5	1	unknown	background
Q9H9L3	1666	Q96AZ6	3	unknown	background
Q9H9L4	14994	Q9H9L4	1	unknown	background
Q9H9L7	14995	Q9H9L7	1	unknown	background
Q9H9P2	3713	Q9H9P2	2	unknown	background
Q9H9P5	3714	Q9H9P5	2	unknown	background
Q9H9P8	2569	P37339	2	human	mito
Q9H9Q2	3715	Q9H9Q2	2	unknown	background
Q9H9Q4	14996	Q9H9Q4	1	unknown	background
Q9H9R9	14997	Q9H9R9	1	unknown	background
Q9H9S0	1531	Q6NSW7	3	unknown	background
Q9H9S3	3716	Q9H9S3	2	unknown	background
Q9H9S4	3717	Q9H9S4	2	unknown	background
Q9H9S5	14998	Q9H9S5	1	unknown	background
Q9H9T3	14999	Q9H9T3	1	unknown	background
Q9H9V4	3902	Q9Y225	2	unknown	background
Q9H9V9	15000	Q9H9V9	1	unknown	background
Q9H9Y2	15001	Q9H9Y2	1	unknown	background
Q9H9Y4	3851	Q9UHW5	2	unknown	background
Q9H9Y6	15002	Q9H9Y6	1	unknown	background
Q9H9Z2	3718	Q9H9Z2	2	unknown	background
Q9HA38	15003	Q9HA38	1	unknown	background
Q9HA47	1737	Q9BZX2	3	unknown	background
Q9HA64	3719	Q9HA64	2	unknown	background
Q9HA65	3720	Q9HA65	2	unknown	background
Q9HA72	15004	Q9HA72	1	unknown	background
Q9HA77	2457	P21888	2	human	hsp60,matrix,mito
Q9HA82	689	Q96G23	5	unknown	background
Q9HA90	15005	Q9HA90	1	unknown	background
Q9HA92	15006	Q9HA92	1	human	hsp60,mito
Q9HAA7	15007	Q9HAA7	1	unknown	background
Q9HAB3	1766	Q9HAB3	3	unknown	background
Q9HAB8	15008	Q9HAB8	1	unknown	background
Q9HAC7	2771	P76518	2	human	matrix,mito
Q9HAC8	3721	Q9HAC8	2	unknown	background
Q9HAD4	15009	Q9HAD4	1	unknown	background
Q9HAE3	15010	Q9HAE3	1	unknown	background
Q9HAF1	15011	Q9HAF1	1	unknown	background
Q9HAH1	2	A6NM28	207	unknown	background
Q9HAH7	15012	Q9HAH7	1	unknown	background
Q9HAI6	15013	Q9HAI6	1	unknown	background
Q9HAJ7	3722	Q9HAJ7	2	unknown	background
Q9HAK2	1020	Q9HAK2	4	unknown	background
Q9HAN9	1695	Q96T66	3	unknown	background
Q9HAP2	3743	Q9NP71	2	unknown	background
Q9HAP6	505	Q5EBL8	6	unknown	background
Q9HAQ2	15014	Q9HAQ2	1	unknown	background
Q9HAR2	1164	O94910	3	unknown	background
Q9HAS0	15015	Q9HAS0	1	unknown	background
Q9HAS3	615	P33024	5	unknown	background
Q9HAT0	1767	Q9HAT0	3	unknown	background
Q9HAT1	2634	P49257	2	unknown	background
Q9HAT2	15016	Q9HAT2	1	unknown	background
Q9HAT8	1670	Q96FA3	3	unknown	background
Q9HAU0	15017	Q9HAU0	1	unknown	background
Q9HAU4	287	Q96PU5	8	unknown	background
Q9HAU5	15018	Q9HAU5	1	unknown	background
Q9HAU6	1768	Q9HAU6	3	unknown	background
Q9HAU8	1213	P09960	3	unknown	background
Q9HAV0	701	Q9HAV0	5	unknown	background
Q9HAV4	15019	Q9HAV4	1	unknown	background
Q9HAV5	3723	Q9HAV5	2	unknown	background
Q9HAV7	3724	Q9HAV7	2	human	matrix,mito
Q9HAW0	15020	Q9HAW0	1	unknown	background
Q9HAW4	15021	Q9HAW4	1	unknown	background
Q9HAW7	42	Q6NUS8	22	unknown	background
Q9HAW8	42	Q6NUS8	22	unknown	background
Q9HAW9	42	Q6NUS8	22	unknown	background
Q9HAY2	29	Q9BZ81	26	unknown	background
Q9HAY6	1491	Q16518	3	unknown	background
Q9HAZ1	864	P49760	4	unknown	background
Q9HAZ2	2832	Q03112	2	unknown	background
Q9HB03	3692	Q9H5J4	2	unknown	background
Q9HB07	15022	Q9HB07	1	unknown	background
Q9HB09	15023	Q9HB09	1	unknown	background
Q9HB14	3725	Q9HB14	2	unknown	background
Q9HB15	3725	Q9HB14	2	unknown	background
Q9HB19	3726	Q9HB21	2	unknown	background
Q9HB20	1678	Q96JA3	3	unknown	background
Q9HB21	3726	Q9HB21	2	unknown	background
Q9HB29	2400	P14778	2	unknown	background
Q9HB31	15024	Q9HB31	1	unknown	background
Q9HB40	15025	Q9HB40	1	unknown	background
Q9HB55	702	Q9HB55	5	unknown	background
Q9HB58	15026	Q9HB58	1	unknown	background
Q9HB63	15027	Q9HB63	1	unknown	background
Q9HB65	15028	Q9HB65	1	unknown	background
Q9HB66	15029	Q9HB66	1	unknown	background
Q9HB71	15030	Q9HB71	1	unknown	background
Q9HB75	15031	Q9HB75	1	unknown	background
Q9HB89	982	Q92847	4	unknown	background
Q9HB90	3727	Q9HB90	2	unknown	background
Q9HB96	15032	Q9HB96	1	unknown	background
Q9HBA0	1052	Q9Y5S1	4	unknown	background
Q9HBA9	1045	Q9UQQ1	4	unknown	background
Q9HBB8	15033	Q9HBB8	1	unknown	background
Q9HBD1	3728	Q9HBD1	2	unknown	background
Q9HBE1	15034	Q9HBE1	1	unknown	background
Q9HBE4	15035	Q9HBE4	1	unknown	background
Q9HBE5	15036	Q9HBE5	1	unknown	background
Q9HBF4	15037	Q9HBF4	1	unknown	background
Q9HBF5	15038	Q9HBF5	1	unknown	background
Q9HBG4	906	Q13488	4	unknown	background
Q9HBG6	15039	Q9HBG6	1	unknown	background
Q9HBG7	15040	Q9HBG7	1	unknown	background
Q9HBH0	63	Q15669	19	unknown	background
Q9HBH1	2207	P0A6K3	2	human	matrix,mito
Q9HBH5	286	Q96NR8	8	human	mito
Q9HBH7	15041	Q9HBH7	1	unknown	background
Q9HBH9	3729	Q9HBH9	2	unknown	background
Q9HBI0	1769	Q9HBI0	3	unknown	background
Q9HBI1	1769	Q9HBI0	3	unknown	background
Q9HBI5	15042	Q9HBI5	1	unknown	background
Q9HBI6	132	Q86W10	13	unknown	background
Q9HBJ0	15043	Q9HBJ0	1	unknown	background
Q9HBJ7	1720	Q9BXU7	3	unknown	background
Q9HBJ8	15044	Q9HBJ8	1	unknown	background
Q9HBK9	15045	Q9HBK9	1	unknown	background
Q9HBL0	1770	Q9HBL0	3	unknown	background
Q9HBL6	3730	Q9HBL6	2	unknown	background
Q9HBL7	15046	Q9HBL7	1	human	mito
Q9HBL8	15047	Q9HBL8	1	unknown	background
Q9HBM0	15048	Q9HBM0	1	unknown	background
Q9HBM1	15049	Q9HBM1	1	unknown	background
Q9HBM6	3731	Q9HBM6	2	unknown	background
Q9HBQ8	15050	Q9HBQ8	1	unknown	background
Q9HBR0	15051	Q9HBR0	1	unknown	background
Q9HBT6	38	Q14574	23	unknown	background
Q9HBT7	2	A6NM28	207	unknown	background
Q9HBT8	136	Q9NQV7	13	unknown	background
Q9HBU1	15052	Q9HBU1	1	unknown	background
Q9HBU6	3778	Q9NVF9	2	unknown	background
Q9HBU9	3732	Q9HBV1	2	unknown	background
Q9HBV1	3732	Q9HBV1	2	unknown	background
Q9HBV2	15053	Q9HBV2	1	unknown	background
Q9HBW0	252	O95977	8	unknown	background
Q9HBW1	1771	Q9HBW1	3	unknown	background
Q9HBW9	15054	Q9HBW9	1	unknown	background
Q9HBX3	15055	Q9HBX3	1	unknown	background
Q9HBX8	1154	O75473	3	unknown	background
Q9HBX9	3429	Q8WXD0	2	unknown	background
Q9HBY0	1053	Q9Y5S8	4	unknown	background
Q9HBY8	20	P23443	31	unknown	background
Q9HBZ2	3733	Q9HBZ2	2	unknown	background
Q9HC07	15056	Q9HC07	1	unknown	background
Q9HC10	3734	Q9HC10	2	unknown	background
Q9HC16	1035	Q9UH17	4	unknown	background
Q9HC21	15057	Q9HC21	1	human	mito
Q9HC23	2689	P58294	2	unknown	background
Q9HC24	15058	Q9HC24	1	unknown	background
Q9HC29	3903	Q9Y239	2	unknown	background
Q9HC35	782	O95834	4	unknown	background
Q9HC36	15059	Q9HC36	1	human	hsp60,matrix,mito
Q9HC38	15060	Q9HC38	1	human	matrix,mito
Q9HC44	15061	Q9HC44	1	unknown	background
Q9HC47	15062	Q9HC47	1	unknown	background
Q9HC52	3735	Q9HC52	2	unknown	background
Q9HC56	528	Q9BZA7	6	unknown	background
Q9HC57	15063	Q9HC57	1	unknown	background
Q9HC58	677	Q8NFF2	5	unknown	background
Q9HC62	3736	Q9HC62	2	unknown	background
Q9HC73	15064	Q9HC73	1	unknown	background
Q9HC77	15065	Q9HC77	1	unknown	background
Q9HC78	3530	Q96K62	2	unknown	background
Q9HC84	135	Q9HC84	13	unknown	background
Q9HC96	192	Q6ZSI9	10	unknown	background
Q9HC97	697	Q9BXC1	5	unknown	background
Q9HC98	974	Q8TDX7	4	unknown	background
Q9HCB6	15066	Q9HCB6	1	unknown	background
Q9HCC0	15067	Q9HCC0	1	human	hsp60,matrix,mito
Q9HCC6	1466	Q14469	3	unknown	background
Q9HCC8	1544	Q6W3E5	3	unknown	background
Q9HCC9	15068	Q9HCC9	1	unknown	background
Q9HCD5	15069	Q9HCD5	1	unknown	background
Q9HCD6	3737	Q9HCD6	2	unknown	background
Q9HCE0	15070	Q9HCE0	1	unknown	background
Q9HCE1	15071	Q9HCE1	1	unknown	background
Q9HCE3	1595	Q8N1G0	3	unknown	background
Q9HCE5	15072	Q9HCE5	1	unknown	background
Q9HCE6	3738	Q9HCE6	2	unknown	background
Q9HCE7	287	Q96PU5	8	unknown	background
Q9HCE9	15073	Q9HCE9	1	unknown	background
Q9HCF6	948	Q7Z4N2	4	unknown	background
Q9HCG1	3	Q96IR2	176	unknown	background
Q9HCG7	15074	Q9HCG7	1	unknown	background
Q9HCG8	15075	Q9HCG8	1	unknown	background
Q9HCH0	15076	Q9HCH0	1	unknown	background
Q9HCH3	209	O75131	9	unknown	background
Q9HCH5	688	Q96C24	5	unknown	background
Q9HCI5	3393	Q8TD90	2	unknown	background
Q9HCI6	15077	Q9HCI6	1	unknown	background
Q9HCI7	15078	Q9HCI7	1	unknown	background
Q9HCJ0	1772	Q9HCJ0	3	unknown	background
Q9HCJ1	15079	Q9HCJ1	1	unknown	background
Q9HCJ2	1771	Q9HBW1	3	unknown	background
Q9HCJ3	3263	Q8IY67	2	unknown	background
Q9HCJ5	1762	Q9H7M6	3	unknown	background
Q9HCJ6	1699	Q99536	3	unknown	background
Q9HCK0	1488	Q15916	3	unknown	background
Q9HCK1	15080	Q9HCK1	1	unknown	background
Q9HCK4	1858	Q9Y6N7	3	unknown	background
