uniprot_accession	domain_index	domain_start	domain_end	domain_length	cath_superfamily	domain_frac_helix	domain_frac_strand	domain_frac_coil	domain_mean_plddt	domain_min_plddt	domain_frac_plddt_gt70	domain_frac_plddt_gt90
P28331	1	31	153	123	3.10.20.740	0.2764	0.1707	0.5528	96.24	91.69	1.0	1.0
P28331	2	236	343	108	3.30.200.210	0.287	0.3148	0.3981	96.73	90.06	1.0	1.0
P28331	3	158	234	77	3.30.70.20	0.2338	0.1558	0.6104	94.92	81.25	1.0	0.9351
P28331	4	517	665	149	3.40.50.740	0.255	0.1745	0.5705	96.16	85.62	1.0	0.9732
P28838	1	33	197	165	3.40.220.10	0.3818	0.2182	0.4	96.95	75.19	1.0	0.9818
P28838	2	198	515	318	3.40.630.10	0.3836	0.217	0.3994	98.52	95.19	1.0	1.0
P29012	1	211	355	145	2.40.37.10	0.1724	0.3034	0.5241	97.55	90.94	1.0	1.0
P29012	2	12	210	199	3.20.20.10	0.4121	0.1809	0.407	97.59	89.62	1.0	0.995
P29368	1	134	212	79	1.10.10.800	0.6709	0.0759	0.2532	96.22	90.44	1.0	1.0
P29368	2	21	269	249	3.40.50.1820	0.4378	0.1928	0.3695	97.52	87.25	1.0	0.992
P29680	1	1	354	354	3.20.20.210	0.4915	0.1243	0.3842	97.68	66.62	0.9972	0.9746
P29803	1	15	388	374	3.40.50.970	0.4064	0.1444	0.4492	96.26	30.05	0.9626	0.9599
P30038	1	316	514	199	3.40.309.10	0.3618	0.2312	0.407	98.67	92.81	1.0	1.0
P30038	2	35	549	515	3.40.605.10	0.4252	0.2233	0.3515	98.64	92.81	1.0	1.0
P30041	1	156	224	69	3.30.1020.10	0.3333	0.1449	0.5217	96.52	92.25	1.0	1.0
P30041	2	2	155	154	3.40.30.10	0.2727	0.3117	0.4156	96.99	43.88	0.987	0.9805
P30044	1	44	214	171	3.40.30.10	0.3041	0.2339	0.462	95.43	46.88	0.9415	0.9357
P30048	1	57	256	200	3.40.30.10	0.3	0.25	0.45	96.22	44.41	0.975	0.955
P30049	1	126	168	43	1.20.5.440	0.8605	0.0	0.1395	93.2	83.06	1.0	0.8837
P30049	2	23	125	103	2.60.15.10	0.0291	0.5728	0.3981	88.77	51.94	0.8738	0.7476
P30084	1	233	289	57	1.10.12.10	0.7193	0.0	0.2807	98.43	96.19	1.0	1.0
P30084	2	31	232	202	3.90.226.10	0.4307	0.2178	0.3515	96.81	63.78	0.995	0.9455
P30137	1	10	206	197	3.20.20.70	0.4416	0.1929	0.3655	96.48	71.38	1.0	0.9492
P30139	1	1	255	255	3.20.20.70	0.4157	0.1725	0.4118	93.27	52.5	0.9294	0.8196
P30140	1	10	369	360	3.20.20.70	0.4306	0.1667	0.4028	95.67	63.75	0.9861	0.9333
P30177	1	1	72	72	1.20.970.10	0.6389	0.0	0.3611	96.14	77.81	1.0	0.9583
P30177	2	73	320	248	3.40.1030.10	0.3992	0.1573	0.4435	96.0	72.0	1.0	0.9395
P30405	1	36	207	172	2.40.100.10	0.1395	0.3198	0.5407	95.62	33.38	0.9535	0.9419
P30536	1	2	160	159	1.20.1260.100	0.8553	0.0	0.1447	67.97	41.44	0.4403	0.0
P30745	1	1	329	329	3.20.20.70	0.3222	0.1733	0.5046	93.34	43.06	0.9696	0.8237
P30837	1	290	479	190	3.40.309.10	0.3684	0.1947	0.4368	98.31	92.5	1.0	1.0
P30837	2	51	508	458	3.40.605.10	0.4345	0.2118	0.3537	98.51	92.5	1.0	1.0
P31040	1	483	599	117	1.20.58.100	0.6068	0.094	0.2991	98.22	93.31	1.0	1.0
P31040	2	63	468	406	3.50.50.60	0.3325	0.2537	0.4138	98.41	93.19	1.0	1.0
P31040	3	300	403	104	3.90.700.10	0.4327	0.1442	0.4231	98.24	95.44	1.0	1.0
P31040	4	600	664	65	4.10.80.40	0.0	0.2462	0.7538	98.04	95.31	1.0	1.0
P31057	1	1	263	263	3.20.20.60	0.4753	0.1445	0.3802	97.63	75.69	1.0	0.981
P31327	1	819	967	149	1.10.1030.10	0.4765	0.0738	0.4497	97.63	86.12	1.0	0.9732
P31327	2	1101	1170	70	3.30.1490.20	0.3571	0.2429	0.4	80.31	48.66	0.7286	0.3571
P31327	3	537	817	281	3.30.470.20	0.3203	0.2562	0.4235	97.07	85.06	1.0	0.9644
P31327	4	1078	1349	272	3.30.470.20	0.3272	0.2757	0.3971	91.46	48.66	0.9301	0.761
P31327	5	1357	1494	138	3.40.50.1380	0.471	0.1812	0.3478	92.67	51.91	0.971	0.7971
P31327	6	416	534	119	3.40.50.20	0.3866	0.1681	0.4454	95.0	72.12	1.0	0.8571
P31327	7	969	1077	109	3.40.50.20	0.3394	0.1743	0.4862	97.46	86.31	1.0	0.9817
P31327	8	198	402	205	3.40.50.880	0.2585	0.3317	0.4098	97.92	92.25	1.0	1.0
P31327	9	43	197	155	3.50.30.20	0.1677	0.3097	0.5226	97.98	82.38	1.0	0.9935
P31666	1	161	404	244	3.20.20.370	0.3361	0.2295	0.4344	96.51	78.06	1.0	0.9508
P31930	1	28	252	225	3.30.830.10	0.48	0.1911	0.3289	94.16	37.56	0.9689	0.8933
P31930	2	273	480	208	3.30.830.10	0.4808	0.2019	0.3173	96.18	57.47	0.9904	0.9712
P31937	1	203	335	133	1.10.1040.10	0.6617	0.015	0.3233	96.43	46.06	0.9699	0.9549
P31937	2	35	201	167	3.40.50.720	0.4132	0.2275	0.3593	96.48	34.88	0.976	0.9401
P31979	1	334	432	99	1.20.1440.230	0.6667	0.0202	0.3131	94.22	57.22	0.9293	0.9192
P31979	2	241	332	92	3.10.20.600	0.1848	0.337	0.4783	96.7	89.12	1.0	0.9891
P31979	3	59	238	180	3.40.50.11540	0.4556	0.15	0.3944	96.58	84.19	1.0	0.9389
P31979	4	5	58	54	6.10.250.1450	0.463	0.0	0.537	97.14	90.62	1.0	1.0
P32119	1	2	198	197	3.40.30.10	0.3046	0.2487	0.4467	98.01	60.34	0.9949	0.9848
P32322	1	167	273	107	1.10.3730.10	0.8411	0.0	0.1589	97.16	71.06	1.0	0.9439
P32322	2	1	166	166	3.40.50.720	0.4398	0.2169	0.3434	97.27	90.12	1.0	1.0
P32677	1	167	218	52	1.10.10.60	0.75	0.0	0.25	86.74	69.25	0.9808	0.3654
P32677	2	219	275	57	1.10.10.60	0.7895	0.0	0.2105	87.82	53.81	0.9474	0.5263
P32695	1	271	344	74	1.20.120.1460	0.5946	0.0	0.4054	96.09	76.19	1.0	0.9595
P32695	2	25	266	242	3.20.20.70	0.4339	0.1901	0.376	97.2	80.0	1.0	0.9669
P33121	1	84	555	472	3.40.50.12780	0.4004	0.214	0.3856	93.83	47.5	0.9831	0.839
P33232	1	3	380	378	3.20.20.70	0.4868	0.119	0.3942	94.39	49.97	0.9894	0.8571
P33316	1	105	251	147	2.70.40.10	0.0476	0.3605	0.5918	92.82	43.81	0.9524	0.8639
P33371	1	243	315	73	1.20.225.30	0.6164	0.0	0.3836	96.76	88.0	1.0	0.9589
P33371	2	1	242	242	3.20.20.70	0.4298	0.1818	0.3884	96.78	59.72	0.9752	0.9421
P33599	1	211	596	386	1.10.645.10	0.5104	0.1373	0.3523	94.59	80.75	1.0	0.9249
P33599	2	5	153	149	3.30.460.80	0.2752	0.2953	0.4295	89.78	28.2	0.9128	0.8389
P33667	1	5	134	130	3.40.250.10	0.6154	0.0769	0.3077	96.4	76.75	1.0	0.9692
P33897	1	463	710	248	3.40.50.300	0.4194	0.2339	0.3468	90.46	77.31	1.0	0.6331
P34897	1	78	352	275	3.40.640.10	0.4218	0.1964	0.3818	98.35	92.56	1.0	1.0
P34897	2	53	499	447	3.90.1150.10	0.4922	0.1633	0.3445	97.88	69.0	0.9978	0.9799
P34913	1	18	97	80	1.10.150.240	0.6625	0.0	0.3375	88.93	71.62	1.0	0.4625
P34913	2	5	214	210	3.40.50.1000	0.5381	0.1333	0.3286	91.2	65.81	0.9952	0.6429
P34913	3	237	548	312	3.40.50.1820	0.4391	0.1635	0.3974	96.75	62.59	0.9968	0.9487
P35218	1	34	304	271	3.10.200.10	0.1513	0.2841	0.5646	91.41	29.67	0.8967	0.8561
P35232	1	55	189	135	3.30.479.30	0.4815	0.3259	0.1926	93.0	83.0	1.0	0.9037
P35270	1	6	261	256	3.40.50.720	0.4844	0.1758	0.3398	97.25	81.44	1.0	0.9688
P35914	1	26	324	299	3.20.20.70	0.4615	0.1672	0.3712	96.13	54.56	0.9732	0.9398
P36404	1	4	183	180	3.40.50.300	0.4	0.2333	0.3667	94.95	52.28	0.95	0.8889
P36542	1	29	294	266	1.10.287.80	0.6579	0.1391	0.203	92.5	65.19	0.9812	0.8045
P36542	2	51	256	206	3.40.1380.10	0.5583	0.1796	0.2621	91.66	65.19	0.9757	0.7476
P36548	1	45	278	234	3.40.630.40	0.453	0.1496	0.3974	92.55	41.78	0.9188	0.8419
P36551	1	110	454	345	3.40.1500.10	0.4232	0.229	0.3478	92.98	33.88	0.9652	0.7942
P36776	1	659	751	93	1.10.8.60	0.5806	0.0645	0.3548	90.35	76.44	1.0	0.6774
P36776	2	420	468	49	1.20.5.5270	0.7143	0.0	0.2857	89.35	82.81	1.0	0.4898
P36776	3	285	411	127	1.20.58.1480	0.8268	0.0	0.1732	79.48	48.91	0.7953	0.0866
P36776	4	119	229	111	2.30.130.40	0.1081	0.4595	0.4324	82.37	28.05	0.9189	0.1982
P36776	5	753	959	207	3.30.230.10	0.3671	0.2464	0.3865	84.82	36.12	0.8599	0.4928
P36776	6	481	658	178	3.40.50.300	0.3933	0.1629	0.4438	87.99	61.34	0.9438	0.4719
P36928	1	1	228	228	3.30.420.40	0.4035	0.2588	0.3377	93.8	55.16	0.9868	0.8904
P36928	2	379	433	55	3.30.420.40	0.5818	0.1455	0.2727	93.17	67.44	0.9818	0.8
P36928	3	307	378	72	3.90.640.10	0.5972	0.1528	0.25	96.4	91.06	1.0	1.0
P36957	1	67	168	102	2.40.50.100	0.0	0.3922	0.6078	70.79	32.34	0.7255	0.0
P36957	2	217	451	235	3.30.559.10	0.4085	0.2596	0.3319	93.09	50.44	0.9872	0.8255
P36969	1	27	197	171	3.40.30.10							
P37326	1	85	195	111	1.10.150.130	0.6577	0.018	0.3243	88.36	43.84	0.9459	0.6126
P37326	2	196	376	181	1.10.443.10	0.4917	0.0884	0.4199	92.04	42.19	0.9337	0.8453
P37326	3	1	84	84	3.30.160.390	0.3214	0.3333	0.3452	90.06	53.56	0.9643	0.6786
P37339	1	86	352	267	3.30.9.10	0.3408	0.2846	0.3745	93.89	70.38	1.0	0.8315
P37339	2	3	386	384	3.50.50.60	0.3359	0.2604	0.4036	94.76	70.38	1.0	0.8802
P37685	1	271	473	203	3.40.309.10	0.3941	0.1823	0.4236	97.92	88.5	1.0	0.9951
P37685	2	31	498	468	3.40.605.10	0.4444	0.2009	0.3547	97.87	88.5	1.0	0.9979
P37745	1	1	184	184	2.60.120.10	0.1087	0.4185	0.4728	97.74	88.62	1.0	0.9946
P37765	1	1	61	61	3.10.290.10	0.2623	0.2459	0.4918	94.94	74.38	1.0	0.918
P37765	2	62	251	190	3.30.2350.10	0.1947	0.3316	0.4737	95.16	71.25	1.0	0.9316
P38104	1	106	369	264	3.20.20.120	0.3788	0.1742	0.447	95.72	45.66	0.9621	0.9129
P38104	2	8	400	393	3.30.390.10	0.3893	0.1858	0.4249	96.59	45.66	0.9746	0.9415
P38117	1	1	255	255	3.40.50.620	0.2941	0.2667	0.4392	96.16	59.94	0.9961	0.9529
P38646	1	553	656	104	1.20.1270.10	0.8942	0.0	0.1058	86.48	73.88	1.0	0.3462
P38646	2	428	552	125	2.60.34.10	0.04	0.504	0.456	85.41	55.41	0.944	0.264
P38646	3	118	169	52	3.30.30.30	0.3269	0.2692	0.4038	94.96	87.25	1.0	0.9808
P38646	4	56	423	368	3.30.420.40	0.4049	0.3016	0.2935	94.81	71.19	1.0	0.9076
P38646	5	235	408	174	3.30.420.40	0.4598	0.3276	0.2126	95.46	71.19	1.0	0.931
P38646	6	274	361	88	3.90.640.10	0.6136	0.25	0.1364	95.87	87.31	1.0	0.9205
P39177	1	1	142	142	3.40.50.620	0.4718	0.2042	0.3239	89.19	51.59	0.8803	0.6972
P39406	1	1	158	158	3.40.50.150	0.3861	0.2468	0.3671	96.35	39.81	0.9873	0.9747
P39406	2	159	343	185	3.40.50.150	0.3135	0.3297	0.3568	91.38	51.09	0.9243	0.7838
P39407	1	17	111	95	3.40.1090.10	0.4842	0.1263	0.3895	95.65	83.75	1.0	0.8632
P39407	2	112	224	113	3.40.1090.10	0.3274	0.2212	0.4513	90.22	45.06	0.8761	0.8053
P39408	1	1	259	259	3.20.20.140	0.4788	0.166	0.3552	97.11	53.75	0.9923	0.9614
P40305	1	31	114	84	6.10.110.10	0.7024	0.0	0.2976	53.62	34.84	0.0595	0.0
P40926	1	23	169	147	3.40.50.720	0.4422	0.2109	0.3469	96.27	62.59	0.9932	0.9048
P40926	2	170	338	169	3.90.110.10	0.5325	0.1716	0.2959	97.25	65.06	0.9941	0.9527
P40939	1	545	756	212	1.10.1040.50	0.6698	0.033	0.2972	95.48	75.81	1.0	0.9434
P40939	2	361	544	184	3.40.50.720	0.4076	0.2174	0.375	96.71	82.31	1.0	0.9457
P40939	3	39	359	321	3.90.226.10	0.5483	0.1371	0.3146	94.78	72.62	1.0	0.8816
P41250	1	66	110	45	1.10.287.10	0.9111	0.0	0.0889	81.88	71.75	1.0	0.0
P41250	2	197	280	84	3.30.40.230	0.4405	0.1786	0.381	86.54	68.44	0.9881	0.3333
P41250	3	496	563	68	3.30.720.200	0.5	0.3529	0.1471	87.45	73.06	1.0	0.3088
P41250	4	123	486	364	3.30.930.10	0.3819	0.2582	0.3599	91.93	55.25	0.978	0.6978
P41250	5	613	730	118	3.40.50.800	0.3983	0.2119	0.3898	95.92	83.5	1.0	0.9407
P42126	1	42	246	205	3.90.226.10	0.4634	0.2098	0.3268	97.93	86.06	1.0	0.9951
P42126	2	247	302	56	6.10.250.170	0.8571	0.0	0.1429	95.93	63.84	0.9821	0.9107
P42574	1	29	277	249	3.40.50.1460	0.2892	0.2369	0.4739	91.56	25.19	0.9116	0.8353
P42596	1	8	182	175	3.40.50.150	0.32	0.2057	0.4743	95.93	67.56	0.9886	0.92
P42596	2	183	377	195	3.40.50.150	0.2974	0.2974	0.4051	95.02	40.12	0.9538	0.9231
P42704	1	136	330	195	1.25.40.10	0.7282	0.0	0.2718	85.13	57.72	0.9744	0.0513
P42704	2	651	815	165	1.25.40.10	0.7333	0.0	0.2667	81.08	27.14	0.9333	0.0182
P42704	3	850	1079	230	1.25.40.10	0.6609	0.0087	0.3304	77.89	26.58	0.8696	0.0043
P42704	4	1175	1356	182	1.25.40.10	0.7582	0.0	0.2418	80.46	46.0	0.9121	0.011
P42765	1	7	279	273	3.40.47.10	0.3626	0.2454	0.3919	97.38	85.31	1.0	0.9853
P42765	2	130	393	264	3.40.47.10	0.3788	0.2386	0.3826	97.44	85.31	1.0	0.9848
P43155	1	35	615	581	3.30.559.10	0.4527	0.1601	0.3873	97.46	64.88	0.9966	0.9742
P43155	2	96	410	315	3.30.559.70	0.4063	0.1746	0.419	96.66	64.88	0.9937	0.9524
P43304	1	603	717	115	1.10.238.10	0.6	0.0348	0.3652	76.82	45.59	0.7913	0.0087
P43304	2	478	602	125	1.10.8.870	0.68	0.032	0.288	97.0	87.69	1.0	0.984
P43304	3	159	405	247	3.30.9.10	0.2874	0.3846	0.3279	92.5	73.56	1.0	0.7368
P43304	4	68	442	375	3.50.50.60	0.3253	0.3307	0.344	91.48	45.25	0.968	0.7227
P43329	1	451	552	102	1.20.120.1080	0.5	0.049	0.451	87.71	58.75	0.9216	0.5098
P43329	2	28	252	225	3.40.50.300	0.4844	0.1733	0.3422	89.1	60.28	0.9778	0.48
P43329	3	253	420	168	3.40.50.300	0.3155	0.2679	0.4167	84.8	44.66	0.8929	0.381
P43897	1	43	102	60	1.10.8.10	0.8	0.0	0.2	94.13	62.22	0.9667	0.9333
P43897	2	103	222	120	3.30.479.20	0.35	0.3667	0.2833	95.91	81.0	1.0	0.9167
P43897	3	225	325	101	3.30.479.20	0.2772	0.3168	0.4059	92.36	33.0	0.9307	0.8812
P45577	1	1	119	119	1.10.1710.10	0.5462	0.0672	0.3866	83.91	41.62	0.9076	0.1681
P45578	1	1	171	171	3.30.1360.80	0.3684	0.2164	0.4152	96.52	68.69	0.9942	0.9532
P45880	1	2	294	293	2.40.160.10	0.0478	0.6314	0.3208	92.23	32.06	0.9625	0.8157
P45954	1	51	171	121	1.10.540.10	0.7107	0.0083	0.281	98.35	79.56	1.0	0.9917
P45954	2	284	432	149	1.20.140.10	0.8389	0.0268	0.1342	98.69	96.94	1.0	1.0
P45954	3	172	283	112	2.40.110.10	0.1339	0.5	0.3661	98.57	95.88	1.0	1.0
P46199	1	351	470	120	2.40.30.10	0.2833	0.3917	0.325	95.43	84.88	1.0	0.975
P46199	2	621	713	93	2.40.30.10	0.0	0.6989	0.3011	92.76	78.94	1.0	0.8172
P46199	3	510	616	107	3.40.50.10050	0.4579	0.2617	0.2804	93.7	54.94	0.9626	0.8879
P46199	4	176	350	175	3.40.50.300	0.36	0.24	0.4	92.73	79.0	1.0	0.8114
P47985	1	79	142	64	1.20.5.270	0.6406	0.0	0.3594	94.9	78.44	1.0	0.8906
P47985	2	1	78	78	2.10.210.10	0.0897	0.0	0.9103	46.95	25.92	0.0	0.0
P47985	3	143	274	132	2.102.10.10	0.1742	0.3258	0.5	93.87	74.81	1.0	0.8939
P48047	1	36	129	94	1.10.520.20	0.8404	0.0	0.1596	88.91	78.69	1.0	0.4894
P48201	1	69	140	72	1.20.20.10	0.9861	0.0	0.0139	95.02	88.62	1.0	0.9306
P48728	1	315	391	77	2.40.30.110	0.039	0.5584	0.4026	97.99	87.5	1.0	0.987
P48728	2	34	268	235	3.30.1360.120	0.3106	0.3277	0.3617	98.57	93.44	1.0	1.0
P48728	3	84	174	91	3.30.70.1400	0.2857	0.3626	0.3516	98.57	95.75	1.0	1.0
P48728	4	269	314	46	4.10.1250.10	0.3478	0.0435	0.6087	98.23	89.19	1.0	0.9783
P48735	1	41	451	411	3.40.718.10	0.4599	0.2019	0.3382	96.49	81.75	1.0	0.9416
P49189	1	259	454	196	3.40.309.10	0.3827	0.1888	0.4286	98.57	94.06	1.0	1.0
P49189	2	30	483	454	3.40.605.10	0.4449	0.2137	0.3414	98.48	94.06	1.0	1.0
P49247	1	205	288	84	3.30.70.260	0.2857	0.2738	0.4405	97.75	92.12	1.0	1.0
P49247	2	82	301	220	3.40.50.1360	0.3364	0.2545	0.4091	97.91	92.12	1.0	1.0
P49327	1	2117	2207	91	1.10.1200.10	0.5714	0.011	0.4176	56.11	21.67	0.1758	0.0
P49327	2	857	1108	252	3.10.129.110	0.2579	0.3611	0.381	85.67	44.28	0.9127	0.4325
P49327	3	419	819	401	3.30.70.3290	0.4364	0.1646	0.399	90.48	54.09	0.9776	0.6633
P49327	4	490	788	299	3.40.366.10	0.4448	0.1605	0.3946	91.3	68.12	0.9967	0.7023
P49327	5	1	406	406	3.40.47.10	0.3522	0.2266	0.4212	93.75	66.56	0.9926	0.8571
P49327	6	1110	1405	296	3.40.50.150	0.4088	0.2297	0.3615	81.7	47.5	0.8581	0.2264
P49327	7	2218	2383	166	3.40.50.1820	0.4157	0.1265	0.4578	82.85	48.56	0.8434	0.3554
P49327	8	2419	2500	82	3.40.50.1820	0.4268	0.2317	0.3415	83.11	56.69	0.9024	0.0732
P49327	9	1419	2111	693	3.40.50.720	0.3766	0.2309	0.3925	86.42	50.16	0.9264	0.4459
P49327	10	1521	1879	359	3.90.180.10	0.3454	0.2507	0.4039	85.67	50.16	0.9109	0.4262
P49406	1	84	205	122	2.30.30.790	0.2459	0.377	0.377	96.44	90.69	1.0	1.0
P49411	1	256	350	95	2.40.30.10	0.0316	0.5474	0.4211	93.76	81.25	1.0	0.8737
P49411	2	353	455	103	2.40.30.10	0.0388	0.534	0.4272	92.14	63.25	0.9903	0.7864
P49411	3	58	253	196	3.40.50.300	0.4643	0.1888	0.3469	90.32	70.56	1.0	0.6582
P49419	1	299	491	193	3.40.309.10	0.3368	0.2176	0.4456	98.61	95.12	1.0	1.0
P49419	2	63	517	455	3.40.605.10	0.4308	0.2088	0.3604	98.65	95.12	1.0	1.0
P49448	1	54	113	60	1.10.287.140	0.6667	0.0	0.3333	89.98	29.83	0.9	0.8167
P49448	2	114	262	149	3.40.50.10860	0.3758	0.2685	0.3557	97.96	91.75	1.0	1.0
P49448	3	263	558	296	3.40.50.720	0.527	0.1014	0.3716	96.19	56.38	0.9899	0.9527
P49590	1	45	405	361	3.30.930.10	0.4321	0.1828	0.385	90.94	43.69	0.9391	0.759
P49590	2	406	506	101	3.40.50.800	0.4356	0.2079	0.3564	95.7	66.5	0.9901	0.9703
P49675	1	65	284	220	3.30.530.20	0.2864	0.4	0.3136	93.74	35.34	0.9636	0.8864
P49748	1	91	211	121	1.10.540.10	0.7025	0.0	0.2975	98.53	96.38	1.0	1.0
P49748	2	327	473	147	1.20.140.10	0.8231	0.0272	0.1497	98.51	91.75	1.0	1.0
P49748	3	517	646	130	1.20.140.10	0.8308	0.0154	0.1538	97.93	78.69	1.0	0.9846
P49748	4	212	326	115	2.40.110.10	0.0783	0.5217	0.4	98.29	94.5	1.0	1.0
P49753	1	46	192	147	2.60.40.2240	0.0272	0.381	0.5918	92.35	35.84	0.9048	0.8639
P49753	2	193	472	280	3.40.50.1820	0.2893	0.275	0.4357	97.84	77.88	1.0	0.9786
P49773	1	1	126	126	3.30.428.10	0.3016	0.2063	0.4921	96.17	60.97	0.9921	0.9286
P49789	1	1	147	147	3.30.428.10	0.3878	0.2109	0.4014	95.24	67.25	0.9796	0.9048
P49821	1	362	457	96	1.20.1440.230	0.8021	0.0	0.1979	97.7	91.19	1.0	1.0
P49821	2	265	361	97	3.10.20.600	0.2165	0.3196	0.4639	97.73	92.56	1.0	1.0
P49821	3	85	264	180	3.40.50.11540	0.45	0.15	0.4	97.17	81.88	1.0	0.9611
P49914	1	1	203	203	3.40.50.10420	0.3744	0.1872	0.4384	95.08	32.66	0.9754	0.9163
P49916	1	258	462	205	1.10.3260.10	0.6488	0.0098	0.3415	93.11	74.75	1.0	0.8293
P49916	2	688	832	145	2.40.50.140	0.2069	0.3724	0.4207	91.76	73.0	1.0	0.7517
P49916	3	484	677	194	3.30.1490.70	0.2629	0.3557	0.3814	91.25	61.91	0.9845	0.7268
P49916	4	91	186	96	3.30.1740.10	0.3229	0.25	0.4271	82.79	54.19	0.875	0.2396
P49916	5	512	631	120	3.30.470.30	0.2583	0.4	0.3417	91.22	61.91	0.975	0.7333
P49916	6	922	1009	88	3.40.50.10190	0.2841	0.1136	0.6023	79.74	28.7	0.8182	0.3636
P50213	1	28	366	339	3.40.718.10	0.4336	0.2065	0.3599	95.29	48.94	0.9823	0.9027
P50336	1	1	477	477	3.50.50.60	0.4109	0.2138	0.3753	95.28	43.84	0.979	0.9099
P50416	1	171	761	591	3.30.559.10	0.4501	0.1591	0.3909	96.23	69.44	0.9983	0.9357
P50416	2	230	547	318	3.30.559.70	0.4057	0.1698	0.4245	96.48	69.44	0.9969	0.9528
P50416	3	1	49	49	6.10.250.1760	0.5918	0.2449	0.1633	60.02	30.61	0.4082	0.0
P50440	1	64	423	360	3.75.10.10	0.2972	0.2306	0.4722	98.23	79.25	1.0	0.9861
P50583	1	1	146	146	3.90.79.10	0.2808	0.3973	0.3219	95.13	58.0	0.9726	0.8904
P51530	1	558	826	269	3.40.50.300	0.4721	0.1747	0.3532	92.77	58.16	0.9777	0.8216
P51530	2	827	1044	218	3.40.50.300	0.422	0.1789	0.3991	89.33	65.38	0.9817	0.6055
P51530	3	125	403	279	3.90.320.10	0.4373	0.2437	0.319	89.44	49.91	0.9498	0.7133
P51553	1	40	393	354	3.40.718.10	0.4011	0.2119	0.387	94.93	35.03	0.9689	0.8983
P51648	1	210	405	196	3.40.309.10	0.3724	0.1786	0.449	98.64	96.75	1.0	1.0
P51648	2	9	423	415	3.40.605.10	0.4482	0.1783	0.3735	98.63	94.0	1.0	1.0
P51649	1	311	501	191	3.40.309.10	0.3665	0.2304	0.4031	96.97	80.12	1.0	0.9267
P51649	2	74	524	451	3.40.605.10	0.4257	0.2173	0.357	97.73	80.12	1.0	0.9623
P51659	1	250	319	70	1.10.287.4290	0.3857	0.0286	0.5857	75.81	23.92	0.7714	0.3571
P51659	2	320	480	161	3.10.129.10	0.236	0.3416	0.4224	86.17	27.58	0.8634	0.5528
P51659	3	481	615	135	3.10.129.10	0.2741	0.3185	0.4074	92.0	23.97	0.9407	0.8222
P51659	4	617	736	120	3.30.1050.10	0.4333	0.275	0.2917	82.2	24.62	0.8667	0.3333
P51659	5	2	249	248	3.40.50.720	0.4839	0.1734	0.3427	96.62	64.81	0.996	0.9113
P51687	1	422	544	123	2.60.40.650	0.0244	0.4634	0.5122	96.96	86.75	1.0	0.9675
P51687	2	80	166	87	3.10.120.10	0.4138	0.2414	0.3448	83.67	51.44	0.8966	0.2989
P51687	3	174	421	248	3.90.420.10	0.1573	0.2863	0.5565	95.65	72.5	1.0	0.8952
P52758	1	2	137	136	3.30.1330.40	0.2794	0.2941	0.4265	97.27	79.69	1.0	0.9632
P52815	1	63	120	58	1.20.5.710	0.431	0.0	0.569	69.9	33.47	0.5172	0.4138
P52815	2	123	197	75	3.30.1390.10	0.4533	0.2667	0.28	77.84	40.34	0.8667	0.0
P53007	1	27	310	284	1.50.40.10	0.8028	0.0	0.1972	78.26	52.44	0.8697	0.0
P53370	1	43	134	92	3.40.630.30	0.3804	0.2826	0.337	94.13	50.97	0.9783	0.8804
P53370	2	143	282	140	3.90.79.10	0.2929	0.3857	0.3214	96.01	66.31	0.9857	0.9143
P53370	3	283	316	34	4.10.80.100	0.1471	0.4118	0.4412	93.04	79.44	1.0	0.7941
P53396	1	937	1035	99	1.10.230.10	0.6263	0.0404	0.3333	96.23	91.56	1.0	1.0
P53396	2	1	236	236	3.30.470.110	0.3347	0.3051	0.3602	95.01	60.28	0.9958	0.9237
P53396	3	243	429	187	3.40.50.261	0.4278	0.1925	0.3797	95.21	43.12	0.9786	0.9465
P53396	4	625	810	186	3.40.50.261	0.3817	0.1613	0.457	95.95	75.31	1.0	0.9032
P53396	5	487	624	138	3.40.50.720	0.3043	0.2536	0.442	97.5	60.84	0.9928	0.9783
P53597	1	169	345	177	3.40.50.261	0.3503	0.2203	0.4294	97.88	86.06	1.0	0.9831
P53597	2	44	168	125	3.40.50.720	0.408	0.208	0.384	98.53	96.62	1.0	1.0
P54098	1	894	994	101	1.10.150.20	0.6931	0.0297	0.2772	85.64	71.12	1.0	0.2475
P54098	2	538	561	24	1.20.5.3960	0.875	0.0	0.125	71.85	60.91	0.5833	0.0
P54098	3	134	340	207	3.30.420.390	0.2947	0.1884	0.5169	82.54	26.75	0.8068	0.5652
P54098	4	341	437	97	3.30.420.390	0.6392	0.0309	0.3299	90.48	43.91	0.9588	0.7113
P54098	5	868	893	26	3.30.70.370	0.1538	0.3077	0.5385	93.91	77.25	1.0	0.8462
P54819	1	1	239	239	3.40.50.300	0.4812	0.1506	0.3682	90.33	36.94	0.9163	0.8285
P54868	1	49	508	460	3.40.47.10	0.4174	0.2022	0.3804	97.5	79.44	1.0	0.9652
P54886	1	60	358	299	3.40.1160.10	0.4214	0.1472	0.4314	82.7	37.69	0.7926	0.4649
P54886	2	581	729	149	3.40.309.10	0.4027	0.2282	0.3691	94.39	60.44	0.9799	0.8658
P54886	3	373	769	397	3.40.605.10	0.4484	0.2166	0.335	93.09	60.44	0.9849	0.7859
